time,user_name,user_color,message
18,staunch82,#DAA520,"good Luck runners"
32,soniic7_,#008000,"gl"
38,staunch82,#DAA520,"DinoDance"
41,toebiter85,#0000FF,"good luck everyone"
42,fingeretad,,"gl everyone!"
49,mugenjikan,#8A2BE2,"gl to all"
54,fingeretad,,"what a match we got"
160,szzliy,#1E90FF,"gl runners"
168,frostxbytex,#1E90FF,"LETS GOOOOOOO"
205,aidenmoment_,#00FF7F,"gl"
214,tfresh2000,#8A2BE2,"I have so much money on scynor"
242,spicyedamame,#8A2BE2,"gl"
242,edgxxrr,#FF69B4,"gl wiisuper"
269,szzliy,#1E90FF,"Zac coms YodaPog"
319,edgxxrr,#FF69B4,"eroadhouse back from the grave"
358,xknightrl,#FF0000,"let’s go boys"
367,xknightrl,#FF0000,"gl"
388,tfresh2000,#8A2BE2,"All of them have different controller binds"
444,jackbrotv,#FF4500,"are they all on 2c"
447,tfresh2000,#8A2BE2,"You forget the tfresh factor, I’ll give scynor a pep talk if need be"
485,itsjared97,#FF0000,"holy moly Zac and Evan duo"
489,itsjared97,#FF0000,"I missed this"
496,jackbrotv,#FF4500,"Cheer1"
506,cragon76,,"@jackbrotv scynor and anorak are playing on controller and keyboard if that’s what you are asking"
517,jackbrotv,#FF4500,"yes thanks"
529,mellovrotv,#FF69B4,"this is gonna be a banger"
542,mellovrotv,#FF69B4,"yo someone payout the old pred"
549,mellovrotv,#FF69B4,"im begging"
695,firmynator,#7C13FF,"how hard is it?"
763,carkoon,#9ACD32,"@firmynator hard"
777,carkoon,#9ACD32,"like a small boulder"
937,violaguy32,#DAA520,"Scynor and Justin are SO close!"
1015,firmynator,#7C13FF,"uhh"
1030,staunch82,#DAA520,"oh no"
1040,natestryker,#FF4500,"erm"
1051,brickofett,#00C446,"This is crazy"
1057,staunch82,#DAA520,"noooo"
1058,szzliy,#1E90FF,"not again today"
1060,itsjared97,#FF0000,"what in the world man"
1084,violaguy32,#DAA520,"Justin can still win if he does Fastest DV1."
1088,colten8_,,"Justin selling on purpose he could’ve left the second he missed it"
1111,frostxbytex,#1E90FF,"is it even faster to continue that lap and not reset right at the beginning?"
1134,firmynator,#7C13FF,"the fact he got halfway through then left? just commit atp"
1146,staunch82,#DAA520,"oh my"
1148,p53p,,"He got stuck on a rock"
1152,violaguy32,#DAA520,"@frostxbytex Yes. The cutscene is insanely long."
1164,mellovrotv,#FF69B4,"hes going for seed 6"
1168,mellovrotv,#FF69B4,"Kappa"
1185,charliegldmn,#DC4C0E,"WiiSup ve Herasmie 3 Cinema"
1187,frostxbytex,#1E90FF,"at least make it more obvious cuh"
1203,frostxbytex,#1E90FF,"im here for the scynor 2:20"
1215,edgxxrr,#FF69B4,"wii super comeback again"
1250,dannypic7,,"justin also just had a run timed at 2:20 last night, his 7th best time ever"
1263,itsjared97,#FF0000,"classic Zac calling the race too early"
1274,staunch82,#DAA520,"gamer olive type comeback incoming"
1302,colten8_,,"Justin’s worst pace ever lmao"
