,,Rung 1,,,5/27/2024,Rung 2,,,,Rung 3,,,,Rung 4,,,,Rung 5,,,,Rung 6,
,https://therun.gg/races/ccn6,,,,https://therun.gg/races/b8dq,,,,https://therun.gg/races/kxpc,,,,https://therun.gg/races/l636,,,,,,,,https://therun.gg/races/pz66,,
,FrostByte,Jared,Scynor,,Eroadhouse,WiiSuper,FlamingLazer,,ejpman,Herasmie,Jablaky,,DaHamster,flup,Charzight,,Revvylo,Garrison,TwiceLyte,,GildetPhantom,thenzota,Core
1-1,,,,1-1,02:10.139,02:17.517,,1-1,,,,1-1,,,,1-1,,,,1-1,,,
1-2,,,,1-2,04:55.961,05:06.478,,1-2,,,,1-2,,,,1-2,,,,1-2,,,
1-3,,,,1-3,07:44.351,07:55.469,,1-3,,,,1-3,,,,1-3,,,,1-3,,,
1-4,,,,1-4,11:35.108,11:48.135,,1-4,,,,1-4,,,,1-4,,,,1-4,,,
1-5,,,,1-5,16:24.183,16:36.092,,1-5,,,,1-5,,,,1-5,,,,1-5,,,
1-6,,,,1-6,20:36.008,20:37.972,,1-6,,,,1-6,,,,1-6,,,,1-6,,,
2-1,,,,2-1,25:06.011,25:09.422,,2-1,,,,2-1,,,,2-1,,,,2-1,,,
2-2,,,,2-2,29:53.837,30:00.614,,2-2,,,,2-2,,,,2-2,,,,2-2,,,
2-3,,,,2-3,34:14.016,34:17.847,,2-3,,,,2-3,,,,2-3,,,,2-3,,,
2-4,,,,2-4,37:42.192,37:43.280,,2-4,,,,2-4,,,,2-4,,,,2-4,,,
2-5,,,,2-5,39:27.803,39:29.781,,2-5,,,,2-5,,,,2-5,,,,2-5,,,
2-6,,,,2-6,41:50.897,41:53.820,,2-6,,,,2-6,,,,2-6,,,,2-6,,,
4-1,,,,4-1,48:12.605,48:13.705,,4-1,,,,4-1,,,,4-1,,,,4-1,,,
4-2,,,,4-2,53:14.924,53:16.965,,4-2,,,,4-2,,,,4-2,,,,4-2,,,
4-3,,,,4-3,56:55.230,56:59.362,,4-3,,,,4-3,,,,4-3,,,,4-3,,,
4-4,,,,4-4,1:01:04.984,1:00:59.514,,4-4,,,,4-4,,,,4-4,,,,4-4,,,
4-5,,,,4-5,1:05:26.092,1:05:09.490,,4-5,,,,4-5,,,,4-5,,,,4-5,,,
4-6,,,,4-6,1:09:55.537,1:09:50.821,,4-6,,,,4-6,,,,4-6,,,,4-6,,,
6-1,,,,6-1,1:16:49.882,1:16:03.372,,6-1,,,,6-1,,,,6-1,,,,6-1,,,
6-2,,,,6-2,1:21:25.087,1:21:39.009,,6-2,,,,6-2,,,,6-2,,,,6-2,,,
6-3,,,,6-3,1:24:14.814,1:24:29.915,,6-3,,,,6-3,,,,6-3,,,,6-3,,,
6-4,,,,6-4,1:30:39.274,1:31:12.074,,6-4,,,,6-4,,,,6-4,,,,6-4,,,
6-5,,,,6-5,1:33:04.467,1:33:39.674,,6-5,,,,6-5,,,,6-5,,,,6-5,,,
6-6,,,,6-6,1:38:25.845,1:38:54.268,,6-6,,,,6-6,,,,6-6,,,,6-6,,,
3-1,,,,3-1,1:42:56.349,1:43:20.794,,3-1,,,,3-1,,,,3-1,,,,3-1,,,
3-2,,,,3-2,1:47:16.106,1:48:11.834,,3-2,,,,3-2,,,,3-2,,,,3-2,,,
3-3,,,,3-3,1:48:35.676,1:49:28.047,,3-3,,,,3-3,,,,3-3,,,,3-3,,,
3-4,,,,3-4,1:52:41.624,1:53:18.120,,3-4,,,,3-4,,,,3-4,,,,3-4,,,
3-5,,,,3-5,1:54:54.496,1:55:43.669,,3-5,,,,3-5,,,,3-5,,,,3-5,,,
3-6,,,,3-6,1:57:14.159,1:58:07.334,,3-6,,,,3-6,,,,3-6,,,,3-6,,,
5-1,,,,5-1,2:03:18.101,2:04:07.012,,5-1,,,,5-1,,,,5-1,,,,5-1,,,
5-2,,,,5-2,2:07:14.182,2:07:47.369,,5-2,,,,5-2,,,,5-2,,,,5-2,,,
5-3,,,,5-3,2:11:07.245,2:11:26.922,,5-3,,,,5-3,,,,5-3,,,,5-3,,,
5-4,,,,5-4,2:16:00.292,2:16:22.153,,5-4,,,,5-4,,,,5-4,,,,5-4,,,
5-5,,,,5-5,2:19:19.104,2:20:14.453,,5-5,,,,5-5,,,,5-5,,,,5-5,,,
5-6,,,,5-6,2:24:45.621,2:25:29.477,,5-6,,,,5-6,,,,5-6,,,,5-6,,,
