,,Rung 1,
,https://therun.gg/races/f8wa,,
,DaHamster,Ejpman,Herasmie
1-1,02:14.910,02:12.74624,02:19.113
1-2,05:39.786,04:58.67634,05:08.303
1-3,08:31.715,07:51.84654,08:00.043
1-4,12:20.016,11:46.26259,11:48.154
1-5,17:13.386,16:34.83857,17:04.923
1-6,21:19.165,20:44.71988,21:10.881
2-1,25:57.541,25:16.94025,25:50.428
2-2,31:20.474,30:08.05637,31:54.168
2-3,35:45.687,34:31.87387,36:15.703
2-4,39:26.877,38:33.94257,40:06.066
2-5,41:29.016,40:31.53852,41:54.110
2-6,43:52.409,43:28.22690,44:22.189
4-1,50:21.376,49:49.73838,50:46.500
4-2,55:30.966,55:22.44047,56:31.964
4-3,59:18.871,59:04.10980,1:00:38.573
4-4,1:03:35.260,1:03:00.80395,1:04:33.592
4-5,1:07:50.550,1:07:23.14473,1:08:26.985
4-6,1:12:21.382,1:11:55.76239,1:13:14.342
6-1,1:18:56.649,1:18:07.36973,1:19:36.744
6-2,1:23:46.726,1:23:07.70698,1:25:26.480
6-3,1:26:40.442,1:25:57.64677,1:28:29.044
6-4,1:33:16.114,1:32:39.11900,1:35:09.987
6-5,1:35:40.600,1:35:17.92340,1:37:39.583
6-6,1:41:09.575,1:40:22.19066,1:43:01.334
3-1,1:45:38.175,1:44:50.98148,1:47:37.946
3-2,1:50:12.898,1:49:30.34483,1:52:08.841
3-3,1:51:23.748,1:50:53.60441,1:53:35.843
3-4,1:55:27.884,1:54:49.74534,1:57:47.101
3-5,1:57:53.609,1:57:09.56349,2:00:05.200
3-6,2:00:16.663,1:59:30.62516,2:02:56.645
5-1,2:06:29.966,2:05:40.32186,2:09:15.858
5-2,2:10:12.271,2:09:30.73311,2:13:05.540
5-3,2:14:04.662,2:13:06.42167,2:16:55.224
5-4,2:18:59.135,2:18:06.69810,2:22:09.121
5-5,2:22:11.241,2:21:57.63568,2:25:29.489
5-6,2:27:10.725,"2:27:20.45694",2:30:43.372
