,,Rung 1,,,,Rung 2,,,,Rung 3,,,,Rung 4,,,,Rung 5,,,,Rung 6,,,,Rung 7,
,https://therun.gg/races/fhdg,,,,https://therun.gg/races/ym4p,,,,https://therun.gg/races/ck55,,,,https://therun.gg/races/502g,,,,https://therun.gg/races/wdn0,,,,https://therun.gg/races/cccv,,,,https://therun.gg/races/4sce,,
,Ginger,Scynor,WiiSuper,,Jared,Frostbyte,Ejpman,,ERoadhouse,FlamingLazer,DaHamster,,Jablaky,Herasmie,Revvylo,,Flup,Charzight,Core,,Garrison,TwiceLyte,GildetPhantom,,thenzota,Nolan,Anorak
1-1,02:09.442,02:15.512,02:13.081,1-1,02:10.211,02:10.362,02:10.72887,1-1,02:11.939,02:13.994,no,1-1,02:13.855,02:26.105,02:19.433,1-1,02:18.896,02:30.642,02:33.529,,,,,,,,
1-2,05:00.575,05:01.175,05:08.328,1-2,04:57.509,05:41.996,04:53.92977,1-2,05:07.925,05:07.342,splits,1-2,05:10.991,05:40.142,05:25.433,1-2,05:12.370,05:29.105,05:33.132,,,,,,,,
1-3,07:49.558,07:49.417,08:02.198,1-3,07:45.945,08:41.019,07:47.17007,1-3,07:56.836,07:58.975,,1-3,08:05.418,08:34.891,08:20.569,1-3,08:03.246,08:27.745,08:32.088,,,,,,,,
1-4,11:39.812,11:38.468,12:39.893,1-4,11:33.633,12:30.630,11:39.53530,1-4,11:45.231,11:50.689,,1-4,11:59.668,12:27.261,12:16.206,1-4,12:02.697,12:21.036,12:30.494,,,,,,,,
1-5,16:31.993,16:26.371,17:27.288,1-5,16:47.490,17:27.035,16:36.60400,1-5,16:35.994,16:47.312,,1-5,16:50.692,17:31.299,17:23.302,1-5,17:36.052,17:25.013,18:03.651,,,,,,,,
1-6,20:33.048,20:42.328,21:28.560,1-6,20:44.016,21:52.052,20:52.65031,1-6,20:37.012,20:54.990,,1-6,21:10.624,21:38.568,22:06.325,1-6,22:06.784,22:06.599,22:12.973,,,,,,,,
2-1,24:59.531,25:18.450,26:01.431,2-1,25:10.447,26:23.571,25:29.55596,2-1,25:05.835,25:47.304,,2-1,25:55.180,26:22.463,26:54.610,2-1,27:11.687,26:42.145,26:47.596,,,,,,,,
2-2,29:55.583,30:47.126,30:53.398,2-2,29:59.436,31:20.108,30:49.46363,2-2,30:02.707,31:19.194,,2-2,31:29.690,32:43.533,32:03.237,2-2,32:15.217,32:08.490,32:14.742,,,,,,,,
2-3,34:10.033,35:10.904,35:05.044,2-3,34:19.846,35:39.796,35:18.88245,2-3,34:23.271,35:47.159,,2-3,35:55.489,37:02.718,36:39.274,2-3,37:05.599,36:31.859,36:46.817,,,,,,,,
2-4,37:40.140,38:29.691,38:37.007,2-4,37:42.476,39:12.483,38:41.76977,2-4,37:47.749,39:15.031,,2-4,39:36.805,40:36.423,40:18.498,2-4,40:37.434,40:21.999,40:34.146,,,,,,,,
2-5,39:25.971,40:18.821,40:21.717,2-5,39:28.280,41:00.947,40:30.57918,2-5,39:34.451,41:20.158,,2-5,41:26.811,42:29.975,42:26.792,2-5,42:45.737,42:20.217,42:47.187,,,,,,,,
2-6,41:46.634,42:41.541,42:49.662,2-6,41:48.760,43:29.102,42:56.35140,2-6,41:56.120,43:48.332,,2-6,43:48.635,44:51.919,44:53.473,2-6,45:14.784,45:22.691,45:57.418,,,,,,,,
4-1,48:12.651,49:07.590,49:13.361,4-1,48:08.852,50:00.725,49:29.74751,4-1,48:14.637,50:13.116,,4-1,50:13.823,51:28.888,51:33.955,4-1,51:50.459,51:59.990,52:33.840,,,,,,,,
4-2,53:10.256,54:05.004,54:48.711,4-2,53:03.423,55:18.999,54:48.92717,4-2,53:26.295,55:34.714,,4-2,55:38.817,57:36.942,57:16.074,4-2,57:51.382,57:36.514,59:05.379,,,,,,,,
4-3,57:01.364,57:45.745,58:32.491,4-3,56:41.541,59:00.874,58:33.68575,4-3,57:07.008,59:30.720,,4-3,59:38.326,1:02:35.528,1:02:53.098,4-3,1:01:48.407,1:01:33.444,1:03:04.405,,,,,,,,
4-4,1:01:10.197,1:01:39.962,1:02:37.064,4-4,1:00:36.517,1:03:03.720,1:02:42.02223,4-4,1:01:07.021,1:03:44.822,,4-4,1:03:38.105,1:06:38.708,1:08:22.668,4-4,1:06:49.172,1:05:45.557,1:07:25.554,,,,,,,,
4-5,1:05:20.670,1:06:22.144,1:06:45.007,4-5,1:04:43.546,1:07:52.727,1:07:22.49385,4-5,1:05:46.912,1:07:55.846,,4-5,1:07:56.230,1:11:05.192,1:13:05.488,4-5,1:12:08.228,1:10:11.225,1:11:47.157,,,,,,,,
4-6,1:09:48.673,1:10:51.017,1:11:30.964,4-6,1:09:33.773,1:12:18.346,1:11:54.44444,4-6,1:10:19.951,1:12:30.003,,4-6,1:12:54.282,1:15:51.640,1:18:41.952,4-6,1:16:48.205,1:14:44.252,1:17:02.331,,,,,,,,
6-1,1:15:49.681,1:16:59.066,1:17:39.824,6-1,1:15:51.790,1:18:23.362,1:18:09.46792,6-1,1:16:14.202,1:18:59.334,,6-1,1:19:31.970,1:22:12.552,1:25:01.091,6-1,1:23:15.990,1:21:13.681,1:24:35.896,,,,,,,,
6-2,1:20:47.670,1:21:53.547,1:22:28.006,6-2,1:21:34.056,1:23:18.160,1:23:05.42019,6-2,1:20:59.578,1:24:11.099,,6-2,1:24:23.096,1:27:08.897,1:30:09.412,6-2,1:28:38.152,1:26:39.550,1:30:02.477,,,,,,,,
6-3,1:23:36.858,1:24:47.565,1:25:19.118,6-3,1:24:26.285,1:28:02.361,1:26:13.90167,6-3,1:23:49.161,1:27:17.254,,6-3,1:27:15.530,1:30:01.889,1:33:03.143,6-3,1:31:38.373,1:29:52.365,1:33:00.682,,,,,,,,
6-4,1:30:19.948,1:31:24.337,1:32:11.084,6-4,1:30:56.764,1:34:46.184,1:32:56.13966,6-4,1:30:05.050,1:34:23.183,,6-4,1:34:06.760,1:36:37.305,1:39:57.323,6-4,1:38:46.020,1:36:51.430,1:40:59.725,,,,,,,,
6-5,1:32:48.620,1:33:50.614,1:34:38.839,6-5,1:33:24.155,1:37:20.284,1:35:28.97487,6-5,1:32:30.217,1:36:56.984,,6-5,1:36:31.855,1:39:05.252,1:42:34.464,6-5,1:41:13.816,1:39:21.950,1:43:40.947,,,,,,,,
6-6,1:38:04.922,1:38:55.716,1:39:54.199,6-6,1:38:45.491,1:42:42.809,1:40:55.08202,6-6,1:37:53.573,1:42:34.533,,6-6,1:41:52.573,1:44:35.010,1:48:10.410,6-6,1:47:09.465,1:45:07.020,1:49:23.714,,,,,,,,
3-1,1:42:36.957,1:43:25.686,1:44:20.953,3-1,1:43:41.825,1:47:15.399,1:45:23.55037,3-1,1:42:21.455,1:47:40.893,,3-1,1:46:28.202,1:49:09.789,1:53:15.606,3-1,1:51:39.111,1:49:45.783,1:54:00.560,,,,,,,,
3-2,1:46:45.595,1:47:36.115,1:49:15.258,3-2,1:47:47.209,1:51:56.828,1:50:02.34883,3-2,1:46:25.706,1:52:05.858,,3-2,1:51:02.181,1:54:31.985,1:57:55.162,3-2,1:56:55.731,1:54:46.573,1:58:57.753,,,,,,,,
3-3,1:48:03.841,1:49:00.070,1:50:32.459,3-3,1:49:01.042,1:53:12.049,1:51:24.48901,3-3,1:47:34.304,1:53:22.219,,3-3,1:52:15.393,1:56:08.372,1:59:17.442,3-3,1:58:17.109,1:56:02.499,2:00:14.553,,,,,,,,
3-4,1:51:51.320,1:53:03.508,1:54:18.351,3-4,1:53:01.329,1:57:04.909,1:55:28.69336,3-4,1:51:30.621,1:57:33.694,,3-4,1:56:27.572,2:00:28.969,2:03:25.752,3-4,2:02:25.128,2:00:16.530,2:04:33.700,,,,,,,,
3-5,1:54:13.938,1:55:19.840,1:56:27.822,3-5,1:55:25.191,1:59:24.630,1:58:11.26243,3-5,1:53:42.173,1:59:47.437,,3-5,1:58:44.274,2:03:03.999,2:05:43.004,3-5,2:04:50.215,2:02:42.014,2:07:09.931,,,,,,,,
3-6,1:56:37.916,1:57:43.233,1:59:03.416,3-6,1:57:46.536,2:01:52.165,2:00:34.58406,3-6,1:56:01.972,2:02:07.312,,3-6,2:01:14.648,2:05:29.667,2:08:24.093,3-6,2:07:09.894,2:05:17.970,2:11:07.118,,,,,,,,
5-1,2:02:50.173,2:04:19.910,2:05:01.534,5-1,2:03:53.145,2:07:52.207,2:06:39.58404,5-1,2:01:59.799,2:08:21.931,,5-1,2:07:23.500,2:11:31.457,2:15:09.741,5-1,2:13:40.962,2:11:46.734,2:17:50.140,,,,,,,,
5-2,2:06:39.380,2:08:08.135,2:08:45.973,5-2,2:07:38.080,2:11:44.060,2:10:46.78309,5-2,2:05:43.867,2:12:14.982,,5-2,2:11:09.509,2:15:19.836,2:19:19.286,5-2,2:17:45.435,2:16:26.561,2:22:08.066,,,,,,,,
5-3,2:10:23.446,2:11:57.714,2:12:29.496,5-3,2:11:08.672,2:15:17.529,2:14:25.75686,5-3,2:09:09.414,2:16:00.896,,5-3,2:14:49.760,2:19:14.000,2:23:02.557,5-3,2:21:39.207,2:20:21.772,2:26:04.707,,,,,,,,
5-4,2:15:16.861,2:16:53.278,2:17:21.744,5-4,2:15:56.350,2:20:09.778,2:19:38.69079,5-4,2:14:04.640,2:21:02.612,,5-4,2:19:43.437,2:24:13.269,2:28:24.389,5-4,2:26:44.161,2:26:06.104,2:34:30.858,,,,,,,,
5-5,2:19:29.273,2:20:26.331,2:22:55.102,5-5,2:19:20.905,2:23:23.067,2:23:26.88700,5-5,2:18:10.132,2:25:24.039,,5-5,2:23:25.207,2:27:39.698,2:32:15.531,5-5,2:30:11.604,2:30:20.129,2:43:13.479,,,,,,,,
5-6,2:24:53.996,2:26:01.644,2:28:21.774,5-6,2:24:42.217,2:28:51.873,2:29:19.18379,5-6,2:23:21.063,2:30:49.958,,5-6,2:29:02.043,2:33:35.129,2:38:04.516,5-6,2:35:41.316,2:36:28.474,2:50:59.182,,,,,,,,
