time,user_name,user_color,message
19,thenzota,,"lets go"
51,nolanhead,#FF69B4,"chat am i cooked"
54,nogamesensetv,#FF69B4,"Nolan darth vader"
55,nogamesensetv,#FF69B4,"too much aura"
66,thenzota,,"you got this young nolan"
79,violaguy32,#DAA520,"GL all"
88,redniko12,#FF0000,"gl to all"
127,bennymoon129,,"LETS GO OLIVE"
134,chesterthemouse2,#1E90FF,"gl everyone"
169,notek0,#0000FF,"NOLAN"
176,biksel,#00ADCC,"glgl"
179,nolanhead,#FF69B4,"notek0"
182,nolanhead,#FF69B4,"no way"
186,nolanhead,#FF69B4,"this guy lied to me btw"
196,notek0,#0000FF,"if you don’t win my dreams will be crushed"
199,zacmuffin,#52FFFC,"!title ANY% LADDER LEAGUE | PLAYIN 2 | YAHOOTLES (21) vs NOLAN (22) vs GAMER_OLIVE (23)"
199,nightbot,#7C7CE1,"@ZacMuffin -> Nightbot was unable to authenticate with Twitch's API. The channel owner may need to fully log out and back in at https://nightbot.tv to fix this."
203,zacmuffin,#52FFFC,"Cool"
209,biksel,#00ADCC,"ICANT"
212,nogamesensetv,#FF69B4,"nice"
220,nolanhead,#FF69B4,"modCheck title"
236,dahamster1,#1E90FF,"modCheck title"
242,dahamster1,#1E90FF,"we can hear you guys btw"
262,nolanhead,#FF69B4,"hammy"
264,chesterthemouse2,#1E90FF,"i can also hear them"
265,nolanhead,#FF69B4,"can you coach me"
267,nolanhead,#FF69B4,"like rnb"
269,zacmuffin,#52FFFC,"I fixed the title"
279,chesterthemouse2,#1E90FF,"nice"
280,core_competence,#0A50A1,"thank you zac"
289,0dronzer,#5F9EA0,"gaming"
295,calebspeedrunning,#008000,"did the prediction get refunded?"
297,colten8_,,"olive clutch for me"
302,charzight,#00D8FF,"lfg"
304,charzight,#00D8FF,"GL"
330,0dronzer,#5F9EA0,"aw man the stream won't load for me"
345,aidenmoment_,#00FF7F,"gl"
380,lunaraes_,#0000FF,"gl to the runners!"
383,ethanmagicbrown,#D0A80B,"gamer olive lets gooo"
384,dahamster1,#1E90FF,"nolan has this in the bag"
394,dahamster1,#1E90FF,"gl to the other runners because they’re gonna need it"
401,lunaraes_,#0000FF,"go olive!"
402,ethanmagicbrown,#D0A80B,"sorry yahootles but gamer olive really earned my support after last game"
427,chesterthemouse2,#1E90FF,"olive fans rise up"
481,7_isanumber,#FF69B4,"gl yall"
512,charzight,#00D8FF,"no audio or just me?"
537,saber1658,#DAA520,"gl gl"
586,core_competence,#0A50A1,"yeah there is no game audio rn"
586,nogamesensetv,#FF69B4,"yea i dont think I hear audio either"
606,notek0,#0000FF,"Nolan will finish negotiations first"
624,charzight,#00D8FF,"nvm it was me"
624,flaming_lazer,#8A2BE2,"gl runners"
630,carkoon,#9ACD32,"this is big"
634,core_competence,#0A50A1,"audio good now AngelThump"
668,saber1658,#DAA520,"is bpt not meant to be showing the whole time?"
671,flaming_lazer,#8A2BE2,"GO YAHOOTLES"
697,tfresh2000,#8A2BE2,"I have a LOT of money riding on nolan"
739,0dronzer,#5F9EA0,"keyboard gang"
