time,user_name,user_color,message
14,zacmuffin,#52FFFC,"!editcom !runners itsjared97, FrostByte, WiiSuper, Scynor, Herasmie, AnorakDT, Dragon76, FlamingLazer, Dimei, flup, Coolisen, Revvylo, TwiceLyte, GildetPhantom, Tfresh, thenzota, Charzight, kwazrr, Anonymous, Biksel, yahootles, Nolan, GamerOlive, ChromaQ, AppleMan, Bennymoon"
14,nightbot,#7C7CE1,"@ZacMuffin -> The command "!runners" has been updated successfully."
15,crashmdo,#0000FF,"ITS FINALLY HERE"
29,zacmuffin,#52FFFC,"!commands"
29,nightbot,#7C7CE1,"@ZacMuffin -> The bot commands for this channel are available at https://nightbot.tv/t/legospeedruns/commands"
35,staunch82,#DAA520,"Ladder league KomodoHype"
46,force28_,#1BFFFF,"Force28_ subscribed with Prime. They've subscribed for 2 months! cant be having ads during LL"
48,chesswiz,#DAA520,"LADDER"
48,soniic7_,#008000,"good luck all"
55,aidenmoment_,#00FF7F,"YIPPEE"
59,crashmdo,#0000FF,"Force has a point"
64,ananonymoussource,#1E90FF,"woohoo hooray yay"
74,zacmuffin,#52FFFC,"!editcom !info Ladder League is a 2 month event with 26 runners narrowing down to a top 8, ending in a single elimination bracket."
74,nightbot,#7C7CE1,"@ZacMuffin -> The command "!info" has been updated successfully."
90,kwazrr_,#FF4500,"lfg"
98,zacmuffin,#52FFFC,"!editcom !predictions View the prediction standings on the 'prediction standings' page here: https://docs.google.com/spreadsheets/d/1aw1PAYWkjjj5oZSwaHdP-MnY0472wjWqDpyinL9v4r0/edit?usp=sharing"
98,nightbot,#7C7CE1,"@ZacMuffin -> The command "!predictions" has been updated successfully."
100,colten8_,,"who’s commenting match 1"
108,colten8_,,"commentating"
131,zacmuffin,#52FFFC,"!editcom !wr 2:18:35 by itsjared97"
131,nightbot,#7C7CE1,"@ZacMuffin -> The command "!wr" has been updated successfully."
198,charliegldmn,#DC4C0E,"run a prediction so chat gets a badge with the number of which runner they want to win"
213,charliegldmn,#DC4C0E,"and so I can bet the house on appleman"
293,zacmuffin,#52FFFC,"!editcom !youtube Check out the TCS Speedrunning Community youtube channel here: https://www.youtube.com/@TCSSpeedrunning and the LEGO Speedruns youtube channel here: https://www.youtube.com/@LEGOSpeedrunning"
293,nightbot,#7C7CE1,"@ZacMuffin -> The command "!youtube" has been updated successfully."
372,vvazzip,#8A2BE2,"16 raiders from VVazzip have joined! "
381,charliegldmn,#DC4C0E,"KomodoHype KomodoHype"
387,vvazzip,#8A2BE2,"gl to the runners :)"
403,lunaraes_,#0000FF,"gl to the runners"
409,bopka_,,"GLHF"
412,charliegldmn,#DC4C0E,"apple please lock in for the channel points"
414,gustative,#8A2BE2,"glglglglgl"
419,gustative,#8A2BE2,"im going for the aussies"
422,gustative,#8A2BE2,"unbiased of course"
422,charliegldmn,#DC4C0E,"I need my gambling dosage"
426,ananonymoussource,#1E90FF,"sorry I made the prediction too short lemme remake it"
