,,Rung 1,,,,Rung 2,,,,Rung 3,,,,Rung 4,,,,Rung 5,,,,Rung 6,,,,Rung 7,,,,Rung 8,
,https://therun.gg/races/x8pn,,,,https://therun.gg/races/423p,,,,https://therun.gg/races/r5fh,,,,https://therun.gg/races/2dfz,,,,https://therun.gg/races/iw8t,,,,https://therun.gg/races/cqrq,,,,https://therun.gg/races/sxid,,,,https://therun.gg/races/fcks,,
,Zac,Ginger,Jared,,WiiSuper,Scynor,ERoadhouse,,FrostByte,ejpman,Jablaky,,DaHamster,FlamingLazer,Core,,Herasmie,Revvylo,Garrison,,flup,Charzight,Anorak,,TwiceLyte,GildetPhantom,thenzota,,Nolan,Rapho,Anonymous
1-1,2:13.967,2:20.404,02:20.519,1-1,2:09.699,2:15.208,2:13.841,1-1,02:27.866,0:02:10.85517,02:12.595,1-1,2:20.719,2:26.200,2:22.380,1-1,02:20.270,02:45.631,02:38.457,1-1,2:31.832,02:21.250,02:24.608,,02:18.189,02:26.789,,1-1,02:23.063,02:17.606,02:38.221
1-2,4:59.188,5:22.603,05:14.905,1-2,4:57.417,5:02.585,5:04.204,1-2,05:26.434,0:05:08.60506,05:04.242,1-2,5:11.291,5:18.441,6:33.731,1-2,05:19.466,05:40.095,05:42.471,1-2,5:28.648,05:12.078,05:19.613,,05:18.482,06:10.166,,1-2,05:29.586,05:23.572,06:17.596
1-3,7:47.333,8:11.743,08:03.026,1-3,7:48.831,7:51.419,7:53.353,1-3,08:16.215,0:08:01.78972,07:53.411,1-3,8:01.274,8:11.156,9:38.022,1-3,08:09.399,08:29.789,08:40.057,1-3,8:21.085,08:05.967,08:17.125,,08:25.145,09:00.454,,1-3,08:26.757,08:13.998,09:11.308
1-4,11:35.039,12:00.809,14:00.347,1-4,11:41.164,11:40.005,11:50.948,1-4,12:08.853,11:53.07987,11:45.485,1-4,11:50.179,14:25.461,13:37.153,1-4,11:57.197,12:21.345,16:06.188,1-4,12:16.714,12:00.051,12:15.053,,12:22.791,13:01.779,,1-4,12:27.220,12:05.537,13:10.330
1-5,16:17.610,17:06.338,18:48.069,1-5,17:04.016,17:01.330,16:41.638,1-5,17:07.647,16:50.79348,16:45.191,1-5,16:57.490,19:55.158,19:10.777,1-5,16:56.974,17:39.562,21:19.603,1-5,18:15.437,17:20.992,17:36.914,,17:35.359,18:48.172,,1-5,18:00.565,17:47.635,19:01.652
1-6,20:11.874,21:13.720,23:26.425,1-6,21:20.810,21:25.584,20:59.349,1-6,21:41.526,21:14.10944,20:59.839,1-6,21:21.940,24:17.460,23:21.930,1-6,21:23.407,21:59.218,25:33.744,1-6,22:29.329,21:27.534,22:01.834,,21:55.782,23:12.072,,1-6,22:22.798,22:34.263,23:37.747
2-1,"24:56.297",25:41.563,27:52.844,2-1,25:56.454,25:57.715,25:27.659,2-1,26:20.565,26:03.78056,25:35.226,2-1,26:07.735,28:54.428,28:09.125,2-1,26:02.693,26:53.682,30:27.644,2-1,27:38.120,26:19.447,27:05.239,,26:39.395,27:52.503,,2-1,27:16.713,27:22.727,28:55.858
2-2,29:56.079,30:30.560,32:57.603,2-2,30:48.149,30:52.127,31:14.441,2-2,31:17.060,31:28.02942,30:39.010,2-2,32:00.915,33:58.523,33:35.927,2-2,30:55.947,32:05.047,35:46.978,2-2,32:56.772,31:53.174,33:38.504,,31:43.650,33:37.119,,2-2,32:51.077,33:11.023,34:32.864
2-3,34:19.175,34:48.876,37:12.260,2-3,35:07.186,35:07.165,38:21.903,2-3,35:38.695,35:54.03229,35:00.181,2-3,36:38.117,38:23.950,38:16.748,2-3,,36:40.452,40:13.966,2-3,37:27.549,36:30.293,38:08.837,,36:29.471,38:10.752,,2-3,37:35.903,41:11.128,39:32.204
2-4,37:34.165,38:24.249,40:46.441,2-4,38:28.989,38:34.200,41:52.346,2-4,39:21.887,39:35.04674,38:47.305,2-4,40:20.642,42:04.846,42:09.021,2-4,,40:20.392,43:57.604,2-4,41:29.084,40:12.859,41:51.131,,40:13.100,42:15.708,,2-4,41:29.587,45:09.590,44:58.773
2-5,39:20.172,40:10.248,42:31.803,2-5,40:13.840,40:22.843,43:39.390,2-5,41:13.635,41:30.31675,40:44.194,2-5,42:10.949,44:01.450,44:38.735,2-5,Under,42:17.044,45:54.805,2-5,43:38.410,42:32.330,43:53.091,,42:27.537,44:49.003,,2-5,43:41.029,47:01.878,47:16.150
2-6,41:44.054,42:33.323,44:56.600,2-6,42:33.879,42:48.319,46:01.206,2-6,43:37.523,43:56.91653,43:09.103,2-6,44:35.102,46:28.714,47:03.090,2-6,Construction,44:41.801,48:22.944,2-6,46:03.881,44:55.640,47:16.266,,45:02.691,47:15.332,,2-6,46:08.908,51:20.091,49:50.539
4-1,48:06.701,48:58.191,51:25.357,4-1,49:01.266,49:09.961,52:23.471,4-1,50:05.515,50:23.19805,49:35.310,4-1,51:17.037,53:11.421,53:48.578,4-1,,51:14.213,55:11.454,4-1,52:41.102,51:29.944,53:56.030,,51:59.423,53:51.911,,4-1,53:04.504,58:20.500,57:01.107
4-2,53:07.787,54:44.292,56:35.479,4-2,54:09.871,54:38.694,57:23.830,4-2,55:06.283,55:55.83036,54:47.934,4-2,56:39.151,58:48.898,59:24.035,4-2,,57:05.157,1:00:53.476,4-2,58:24.426,57:31.472,59:59.428,,58:26.868,59:50.589,,4-2,58:59.965,58:14.635,1:03:21.548
4-3,56:46.343,58:29.710,1:00:22.671,4-3,57:51.404,58:23.915,1:01:04.424,4-3,58:52.539,59:36.72867,58:37.541,4-3,1:00:34.736,1:02:48.956,1:03:24.437,4-3,,1:00:59.034,1:04:58.922,4-3,1:02:22.695,1:02:15.375,1:04:10.436,,1:02:16.435,1:03:43.304,,4-3,1:03:21.904,1:04:12.592,1:08:01.413
4-4,1:00:40.436,1:03:00.382,1:04:20.982,4-4,1:01:49.151,1:02:37.347,1:05:08.570,4-4,1:03:00.112,1:03:35.54470,1:03:14.330,4-4,1:05:00.740,1:06:42.991,1:08:03.817,4-4,,1:05:17.805,1:09:29.023,4-4,1:07:26.633,1:06:25.233,1:09:01.584,,1:06:22.833,1:07:45.333,,4-4,1:08:03.426,1:08:08.393,1:12:34.843
4-5,1:04:48.660,1:07:14.312,1:08:22.009,4-5,1:06:00.975,1:06:48.553,1:09:23.070,4-5,1:07:19.178,1:08:54.94055,1:07:21.808,4-5,1:09:08.567,1:11:48.133,1:13:23.572,4-5,,1:09:43.404,1:14:13.423,4-5,1:12:34.032,1:11:42.868,1:14:59.965,,1:10:50.760,1:12:20.404,,4-5,1:12:53.427,1:12:38.752,1:17:20.665
4-6,1:09:14.792,1:11:43.975,1:12:50.975,4-6,1:10:26.975,1:11:16.624,1:13:51.717,4-6,1:11:49.997,1:13:31.01145,1:12:09.686,4-6,1:13:55.268,1:16:20.608,1:18:07.027,4-6,,1:14:45.389,1:19:26.480,4-6,1:17:18.729,1:16:15.547,1:20:01.527,,1:15:25.434,1:16:58.295,,4-6,1:17:42.059,1:18:38.337,1:22:11.616
6-1,1:15:24.38,1:17:51.093,1:18:55.299,6-1,1:16:31.853,1:17:33.566,1:19:52.959,6-1,1:17:55.908,1:19:34.55345,1:18:15.662,6-1,1:20:28.618,1:23:21.385,1:26:32.774,6-1,,1:21:39.118,1:27:55.075,6-1,1:23:38.126,1:23:34.803,1:26:43.690,,1:22:09.544,1:23:55.591,,6-1,1:24:20.991,1:31:35.685,1:32:59.038
6-2,1:20:07.882,1:23:11.807,1:26:11.110,6-2,1:21:22.805,1:22:46.239,1:24:31.774,6-2,1:22:44.993,1:24:39.78835,1:23:03.472,6-2,1:26:24.449,1:29:07.852,1:32:09.181,6-2,,1:26:49.537,1:33:27.292,6-2,1:28:51.489,1:28:23.615,1:32:25.001,,1:27:14.838,1:29:10.648,,6-2,1:30:09.128,1:37:18.075,1:39:19.748
6-3,1:22:58.755,1:26:02.581,1:29:03.271,6-3,1:24:21.613,1:25:36.629,1:27:22.897,6-3,1:25:42.821,1:27:42.45451,1:25:58.049,6-3,1:29:19.089,1:32:04.168,1:35:39.873,6-3,,1:29:50.980,1:36:26.748,6-3,1:31:50.617,1:31:42.035,1:35:34.104,,1:30:20.032,1:32:07.548,,6-3,1:33:17.847,1:40:27.204,1:42:36.258
6-4,1:29:42.881,1:32:49.832,1:36:00.754,6-4,1:31:05.337,1:32:11.614,1:33:43.269,6-4,1:32:24.443,1:34:19.14136,1:32:52.603,6-4,1:36:17.812,1:39:07.175,1:43:34.317,6-4,,1:36:54.509,1:43:25.821,6-4,1:39:08.296,1:39:04.609,1:43:02.809,,1:37:26.070,1:39:27.728,,6-4,1:41:36.691,1:48:16.947,1:50:15.985
6-5,1:32:10.282,1:35:16.343,1:38:28.636,6-5,1:33:31.781,1:34:36.698,1:36:08.801,6-5,1:34:50.521,1:36:49.65601,1:36:01.789,6-5,1:39:50.032,1:41:50.182,1:46:00.856,6-5,,1:39:23.242,1:45:53.515,6-5,1:41:39.536,1:41:57.027,1:45:32.991,,1:39:53.958,1:42:06.090,,6-5,1:44:13.049,1:50:47.533,1:52:46.749
6-6,1:37:21.876,1:40:39.681,1:43:51.640,6-6,1:38:48.287,1:39:42.210,1:41:13.027,6-6,1:40:13.061,1:42:14.00763,1:41:37.594,6-6,1:45:20.725,1:47:17.056,1:52:33.710,6-6,,1:44:48.584,1:51:29.383,6-6,1:48:32.944,1:47:37.392,1:51:27.559,,1:45:56.254,1:48:09.191,,6-6,1:50:20.578,1:58:30.037,1:58:26.700
3-1,1:41:50.600,1:45:15.555,1:48:23.259,3-1,1:43:15.949,1:44:12.145,1:45:42.415,3-1,1:45:07.190,1:46:45.68321,1:46:11.793,3-1,1:50:07.887,1:51:50.861,1:57:09.633,3-1,,1:49:21.705,1:56:49.041,3-1,1:53:02.485,1:52:15.194,1:56:05.539,,1:50:37.885,1:52:41.557,,3-1,1:54:58.046,2:03:10.993,2:03:42.049
3-2,1:46:20.717,1:49:33.931,1:52:35.676,3-2,1:47:27.283,1:48:49.336,1:49:48.427,3-2,1:49:29.992,1:51:21.60500,1:50:47.092,3-2,1:54:40.469,1:56:19.998,2:03:35.954,3-2,,1:54:21.848,2:01:28.019,3-2,1:57:47.378,1:56:50.363,2:00:51.662,,1:55:19.019,1:57:35.063,,3-2,1:59:51.067,2:09:27.070,2:08:30.461
3-3,1:47:40.118,1:51:03.949,1:53:50.137,3-3,1:48:45.977,1:50:08.612,1:51:10.137,3-3,1:50:42.966,1:52:37.54595,1:52:39.333,3-3,1:56:40.017,1:57:36.090,2:05:17.828,3-3,1:53:00.184,1:56:12.550,2:02:45.915,3-3,1:59:29.015,1:58:10.309,2:02:21.575,,1:57:11.856,1:59:17.405,,3-3,2:01:19.582,2:11:07.237,2:10:01.586
3-4,1:51:36.472,1:54:59.698,1:57:50.952,3-4,1:52:36.705,1:54:05.12,1:55:10.432,3-4,1:54:39.349,1:56:35.13133,1:57:02.798,3-4,2:00:51.906,"2:01:58.684",2:09:45.174,3-4,1:57:20.806,2:00:32.802,2:07:07.885,3-4,2:03:36.819,2:02:35.807,2:06:48.181,,2:01:18.985,2:03:42.979,,3-4,2:05:55.639,2:15:40.783,2:14:30.585
3-5,1:53:51.491,1:57:27.128,2:00:13.523,3-5,1:54:50.849,1:56:28.442,1:57:27.619,3-5,1:57:06.878,1:58:53.18386,1:59:22.424,3-5,2:03:20.721,2:04:14.419,2:12:56.431,3-5,1:59:51.748,2:03:00.040,2:09:23.289,3-5,2:06:10.595,2:05:05.679,2:09:11.134,,2:03:54.453,2:07:00.251,,3-5,2:08:34.008,2:19:21.687,2:17:14.702
