,5/29/2024,Rung 1,,,5/27/2024,Rung 2,,,,Rung 3,,,,Rung 4,,,5/31/2024,Rung 5,,,,Rung 6,
,https://therun.gg/races/ccn6,,,,https://therun.gg/races/b8dq,,,,https://therun.gg/races/kxpc,,,,https://therun.gg/races/l636,,,,,,,,https://therun.gg/races/pz66,,
,FrostByte,Jared,Scynor,,Eroadhouse,WiiSuper,FlamingLazer,,ejpman,Herasmie,Jablaky,,DaHamster,flup,Charzight,,Revvylo,Garrison,TwiceLyte,,GildetPhantom,thenzota,Core
1-1,02:09.447,02:17.936,02:17.700,1-1,02:10.139,02:17.517,02:18.826,1-1,00:02:12.80679,02:21.538,02:17.835,1-1,,02:13.692,02:12.934,1-1,02:14.993,02:28.300,02:21.064,1-1,02:13.353,02:14.617,02:16.809
1-2,04:56.573,05:04.335,05:07.987,1-2,04:55.961,05:06.478,05:06.855,1-2,00:04:58.42953,05:31.605,05:05.612,1-2,,05:45.270,05:47.186,1-2,05:07.467,05:20.261,05:21.883,1-2,05:13.979,05:06.074,05:22.654
1-3,07:45.125,07:53.330,08:00.714,1-3,07:44.351,07:55.469,07:57.303,1-3,00:07:52.05430,08:19.730,07:55.192,1-3,,08:40.290,08:43.893,1-3,08:01.337,08:15.279,08:22.113,1-3,08:09.010,07:57.313,08:19.550
1-4,11:36.096,11:41.862,11:49.719,1-4,11:35.108,11:48.135,11:49.757,1-4,00:11:44.49296,12:17.136,14:01.083,1-4,,12:37.251,12:39.333,1-4,11:58.702,12:20.549,12:18.833,1-4,12:13.829,11:54.294,14:27.889
1-5,16:44.443,17:27.310,17:05.274,1-5,16:24.183,16:36.092,16:49.990,1-5,00:16:44.52307,17:27.385,19:00.846,1-5,,18:01.592,18:32.223,1-5,17:07.230,17:48.908,17:19.875,1-5,17:28.849,17:02.941,19:39.000
1-6,20:53.661,21:24.046,21:35.552,1-6,20:36.008,20:37.972,21:03.930,1-6,00:20:49.55167,21:39.044,23:09.138,1-6,,22:23.779,22:59.669,1-6,21:18.459,21:58.927,21:42.896,1-6,21:38.652,21:05.917,23:53.504
2-1,25:39.455,25:55.113,26:07.772,2-1,25:06.011,25:09.422,25:40.849,2-1,00:25:23.82134,26:28.317,27:44.026,2-1,,27:17.496,27:45.085,2-1,26:02.880,27:01.400,26:34.449,2-1,26:35.733,26:05.128,28:30.206
2-2,30:48.711,30:49.000,30:59.153,2-2,29:53.837,30:00.614,30:44.628,2-2,00:30:18.72453,31:20.159,33:50.290,2-2,,33:20.180,33:08.367,2-2,31:06.180,32:41.272,32:04.834,2-2,31:41.360,31:17.313,34:10.775
2-3,35:17.968,35:02.920,35:43.730,2-3,34:14.016,34:17.847,35:07.236,2-3,00:34:37.86678,35:42.797,38:15.161,2-3,,38:00.175,37:34.623,2-3,35:35.136,37:32.217,36:34.207,2-3,36:09.825,35:55.461,42:24.039
2-4,38:47.320,38:28.026,39:04.202,2-4,37:42.192,37:43.280,38:30.193,2-4,00:38:05.41290,39:32.971,41:52.310,2-4,,41:50.819,41:28.181,2-4,39:10.859,41:12.266,40:19.696,2-4,39:56.036,39:34.549,46:22.898
2-5,40:39.999,40:23.179,40:57.344,2-5,39:27.803,39:29.781,40:21.952,2-5,00:39:58.36204,42:00.396,43:42.380,2-5,,43:54.257,43:21.400,2-5,41:28.032,43:19.380,42:15.906,2-5,42:15.259,41:43.105,48:24.951
2-6,43:05.980,42:43.828,43:19.348,2-6,41:50.897,41:53.820,42:47.846,2-6,00:42:22.46335,44:23.183,46:11.838,2-6,,46:28.160,45:46.264,2-6,43:50.344,45:39.567,45:15.404,2-6,45:12.351,44:08.291,50:55.133
4-1,49:29.336,49:05.382,49:45.886,4-1,48:12.605,48:13.705,49:18.560,4-1,00:48:52.64490,50:49.135,52:42.092,4-1,,53:06.033,52:18.443,4-1,50:28.137,52:31.599,51:54.659,4-1,51:43.427,50:56.211,57:34.784
4-2,54:28.716,54:08.046,55:05.313,4-2,53:14.924,53:16.965,54:52.783,4-2,00:54:14.93372,56:23.087,58:08.078,4-2,,58:58.549,58:13.891,4-2,55:55.983,58:11.999,59:05.854,4-2,57:31.944,57:02.261,1:03:05.426
4-3,58:09.456,57:54.811,58:43.552,4-3,56:55.230,56:59.362,58:31.946,4-3,00:58:00.62185,1:00:05.406,1:03:03.306,4-3,,1:02:56.703,1:02:15.355,4-3,59:50.181,1:02:14.646,1:03:00.855,4-3,1:01:37.570,1:01:01.243,1:07:00.686
4-4,1:02:27.696,1:02:35.077,1:02:39.089,4-4,1:01:04.984,1:00:59.514,1:02:53.127,4-4,01:01:53.68890,1:04:06.770,1:07:11.853,4-4,,1:07:07.703,1:06:47.906,4-4,1:03:57.293,1:06:25.545,1:07:15.352,4-4,1:05:35.184,1:05:14.938,1:11:06.808
4-5,1:06:13.420,1:06:55.541,1:07:08.388,4-5,1:05:26.092,1:05:09.490,1:07:31.731,4-5,01:06:33.28865,1:08:21.752,1:11:17.277,4-5,,1:11:23.435,1:11:23.521,4-5,1:08:31.315,1:11:00.445,1:11:37.029,4-5,1:10:01.671,1:10:09.201,1:15:46.562
4-6,1:10:55.961,1:11:26.950,1:11:36.683,4-6,1:09:55.537,1:09:50.821,1:12:08.811,4-6,01:11:09.30773,1:12:53.186,1:15:48.121,4-6,,1:16:00.779,1:15:58.315,4-6,1:13:23.718,1:15:50.066,1:16:16.945,4-6,1:14:42.366,1:14:57.936,1:20:42.881
6-1,1:17:19.840,1:17:33.130,1:17:48.551,6-1,1:16:49.882,1:16:03.372,1:18:17.643,6-1,01:17:17.27764,1:19:53.602,1:22:16.016,6-1,,1:22:32.632,1:22:23.163,6-1,1:20:27.668,1:23:08.108,1:22:44.829,6-1,1:21:10.630,1:21:34.757,1:27:28.943
6-2,1:21:56.543,1:22:17.438,1:22:31.791,6-2,1:21:25.087,1:21:39.009,1:23:37.694,6-2,01:22:15.67060,1:24:55.620,1:27:23.956,6-2,,1:27:41.773,1:27:38.367,6-2,1:25:48.230,1:28:45.494,1:27:50.491,6-2,1:26:31.815,1:26:33.031,1:32:50.348
6-3,1:24:49.046,1:25:08.746,1:25:23.954,6-3,1:24:14.814,1:24:29.915,1:26:42.471,6-3,01:25:09.13964,1:27:49.516,1:30:16.076,6-3,,1:30:38.777,1:30:34.405,6-3,1:28:46.049,1:31:46.559,1:30:49.461,6-3,1:29:28.677,1:29:36.851,1:36:02.204
6-4,1:31:17.516,1:31:40.557,1:32:04.063,6-4,1:30:39.274,1:31:12.074,1:33:35.276,6-4,01:31:51.47532,1:34:26.606,1:37:16.792,6-4,,1:38:08.476,1:37:44.186,6-4,1:36:01.999,1:38:54.283,1:37:50.670,6-4,1:37:02.468,1:36:26.146,1:43:50.801
6-5,1:33:45.272,1:34:25.032,1:34:28.891,6-5,1:33:04.467,1:33:39.674,1:36:26.355,6-5,01:34:28.45771,1:36:57.098,1:39:44.351,6-5,,1:40:35.451,1:40:12.317,6-5,1:38:33.934,1:41:22.016,1:40:20.100,6-5,1:39:30.313,1:38:58.352,1:46:18.701
6-6,1:38:55.206,1:39:35.334,1:40:10.323,6-6,1:38:25.845,1:38:54.268,1:42:04.177,6-6,01:39:52.37415,1:42:51.917,1:44:57.475,6-6,,1:46:09.286,1:45:51.552,6-6,1:44:16.292,1:47:00.698,1:46:27.799,6-6,1:45:27.518,1:44:23.909,1:52:10.234
