,,Rung 1,,,6/15,Rung 2,,,,Rung 3,,,6/12,Rung 4,,,,Rung 5,
,https://therun.gg/races/eusm,,,,https://therun.gg/races/hnqv,,,,https://therun.gg/races/m9yq,,,,https://therun.gg/races/86lo,,,,https://therun.gg/races/w8lv,,
,Eroadhouse,Jared,WiiSuper,,Scynor,Ejpman,Herasmie,,Dahamster,FlamingLazer,Flup,,Revvylo,Garrison,Jablaky,,Charzight,TwiceLyte,GildetPhantom
1-1,02:07.780,02:10.349,02:18.576,1-1,02:10.819,00:02:18.78547,02:15.180,1-1,02:11.405,02:10.352,02:14.616,1-1,02:28.493,,02:21.206,1-1,02:18.395,02:15.278,02:10.305
1-2,04:57.868,05:01.983,05:06.339,1-2,04:52.690,00:05:45.51373,05:03.164,1-2,05:04.042,05:04.689,05:39.526,1-2,05:55.714,,05:12.572,1-2,05:17.395,05:14.863,05:11.675
1-3,07:46.736,07:50.692,07:55.205,1-3,07:41.685,00:08:39.21818,07:52.532,1-3,07:53.789,07:54.649,08:30.951,1-3,08:45.784,,08:05.402,1-3,08:06.961,08:10.595,08:03.484
1-4,11:35.013,11:39.417,12:33.117,1-4,11:30.858,00:12:44.45425,11:47.951,1-4,11:43.290,13:58.951,14:40.817,1-4,12:40.490,,12:44.857,1-4,12:00.189,12:12.336,12:17.745
1-5,16:31.520,16:26.376,17:59.859,1-5,16:19.015,00:17:48.57794,16:42.917,1-5,16:35.090,19:16.032,20:06.367,1-5,17:47.223,,18:03.487,1-5,17:01.548,17:18.298,17:33.565
1-6,20:27.792,20:29.997,22:14.551,1-6,20:14.341,00:21:47.65351,20:44.698,1-6,20:46.214,23:22.539,24:24.227,1-6,22:14.723,,22:12.566,1-6,21:11.564,22:01.670,21:53.547
2-1,24:56.679,25:12.568,26:56.915,2-1,24:45.150,00:26:21.58492,25:37.958,2-1,25:25.884,28:02.117,29:04.882,2-1,27:04.547,,26:53.333,2-1,25:49.491,26:42.227,27:02.593
2-2,30:26.572,30:05.718,32:15.395,2-2,29:38.846,00:31:44.50402,30:34.712,2-2,30:15.893,32:58.313,34:38.009,2-2,32:17.580,,32:10.757,2-2,30:41.301,32:14.714,33:23.652
2-3,34:38.492,34:21.296,36:38.705,2-3,33:58.769,00:36:09.11266,34:59.990,2-3,34:37.636,37:23.210,39:26.175,2-3,37:04.603,,36:37.564,2-3,35:07.820,36:38.864,38:03.953
2-4,38:07.174,38:08.852,39:59.959,2-4,37:35.502,00:39:48.33245,38:29.453,2-4,38:24.971,41:01.948,43:29.008,2-4,40:46.525,,40:06.969,2-4,38:38.154,40:26.606,41:49.256
2-5,39:51.411,40:02.481,41:46.740,2-5,39:22.960,00:41:46.50316,40:22.671,2-5,40:38.477,42:55.295,45:30.935,2-5,42:39.800,,42:04.270,2-5,40:42.134,42:44.785,43:52.473
2-6,42:16.053,42:20.660,44:07.084,2-6,41:47.781,00:44:09.90439,42:45.857,2-6,43:01.846,45:49.462,48:34.250,2-6,45:09.857,,45:06.904,2-6,43:05.325,45:11.351,46:19.313
4-1,48:37.900,48:45.351,50:28.507,4-1,48:08.570,00:50:37.16445,49:17.144,4-1,49:43.523,52:26.441,55:37.596,4-1,51:55.173,,51:38.978,4-1,49:40.523,51:51.095,52:57.580
4-2,53:41.322,53:43.992,55:53.618,4-2,53:07.662,00:55:32.88402,55:13.533,4-2,55:04.245,58:26.316,1:02:20.106,4-2,58:14.394,,57:28.605,4-2,55:26.968,57:08.487,58:57.398
4-3,57:21.011,57:23.299,59:38.671,4-3,56:56.914,00:59:21.17301,58:57.370,4-3,58:44.316,1:02:17.780,1:06:10.165,4-3,1:02:08.088,,1:01:15.056,4-3,59:25.500,1:01:01.183,1:02:54.768
4-4,1:01:15.852,1:01:20.230,1:04:18.664,4-4,1:01:29.467,01:03:18.01089,1:02:53.204,4-4,1:02:46.894,1:06:37.686,1:10:24.685,4-4,1:07:29.764,,1:05:24.141,4-4,1:03:46.751,1:05:11.306,1:07:21.108
4-5,1:05:23.622,1:05:24.461,1:08:02.802,4-5,1:05:40.245,01:07:47.21288,1:07:28.239,4-5,1:07:07.215,1:11:45.711,1:14:51.854,4-5,1:12:04.515,,1:10:07.923,4-5,1:08:11.929,1:10:04.287,1:12:18.164
4-6,1:10:07.110,1:09:59.175,1:12:29.117,4-6,1:10:12.085,01:12:18.44135,1:12:07.772,4-6,1:11:41.062,1:16:24.192,1:19:28.102,4-6,1:16:48.330,,1:14:42.263,4-6,1:12:50.544,1:15:05.696,1:17:21.109
6-1,1:16:07.921,1:16:16.986,1:18:33.428,6-1,1:16:27.467,01:18:32.44400,1:18:57.243,6-1,1:18:08.613,1:22:35.025,1:25:56.717,6-1,1:23:24.745,,1:21:03.901,6-1,1:19:09.786,1:21:30.801,1:24:05.484
6-2,1:20:59.246,1:21:08.203,1:23:48.460,6-2,1:21:04.893,01:23:29.09908,1:24:21.400,6-2,1:22:55.854,1:27:47.778,1:31:23.594,6-2,1:28:31.890,,1:26:19.955,6-2,1:24:23.978,1:26:22.094,1:29:37.548
6-3,1:23:49.971,1:24:00.028,1:26:39.452,6-3,1:24:01.057,01:26:21.65226,1:27:22.908,6-3,1:25:57.413,1:30:43.490,1:34:19.878,6-3,1:31:29.688,,1:29:12.232,6-3,1:27:18.955,1:29:16.376,1:32:34.812
6-4,1:30:13.948,1:30:42.243,1:33:19.961,6-4,1:30:36.179,01:33:55.44802,1:33:58.799,6-4,1:32:45.041,1:38:25.379,1:41:19.592,6-4,1:38:45.354,,1:36:35.529,6-4,1:34:18.904,1:36:00.971,1:39:34.475
6-5,1:32:39.185,1:33:10.639,1:35:46.541,6-5,1:33:06.459,01:36:25.74932,1:36:33.175,6-5,1:35:10.043,1:40:55.592,1:43:46.582,6-5,1:41:24.124,,1:39:38.451,6-5,1:36:46.327,1:38:29.978,1:42:29.073
6-6,1:37:48.951,1:38:28.967,1:40:47.306,6-6,1:38:12.891,01:41:35.45591,1:42:00.615,6-6,1:40:26.191,1:46:37.759,1:49:38.592,6-6,1:47:19.966,,1:44:53.694,6-6,1:42:13.794,1:44:12.093,1:48:52.477
3-1,1:42:17.975,1:42:58.979,1:45:13.941,3-1,1:42:43.424,01:46:04.52586,,3-1,1:44:56.946,1:51:05.544,1:54:07.423,3-1,1:52:16.431,,1:49:43.122,3-1,1:46:48.467,1:48:42.856,1:53:55.970
3-2,1:46:28.472,1:47:12.725,1:49:29.440,3-2,1:46:55.872,01:50:27.94340,,3-2,1:49:26.828,1:56:31.803,1:59:23.124,3-2,1:57:11.328,,1:54:02.602,3-2,1:51:41.466,1:53:18.334,1:59:07.325
3-3,1:47:43.189,1:48:26.102,1:50:51.509,3-3,1:48:07.539,01:51:49.19874,,3-3,1:50:55.891,1:57:52.882,2:00:35.071,3-3,1:58:32.818,,1:56:11.187,3-3,1:52:56.177,1:54:43.549,2:00:35.435
3-4,1:51:41.525,1:52:21.714,1:54:48.297,3-4,1:51:57.531,01:55:49.94475,,3-4,1:55:17.745,2:02:04.845,2:04:39.085,3-4,2:02:48.047,,2:00:20.815,3-4,1:57:05.671,1:58:44.199,2:05:00.022
3-5,1:53:56.403,1:54:34.791,1:57:29.066,3-5,1:54:25.999,01:58:21.04179,,3-5,1:57:35.868,2:04:28.131,2:06:58.797,3-5,2:05:19.314,,2:02:38.892,3-5,1:59:38.950,2:01:37.322,2:07:38.788
3-6,1:56:16.782,1:56:53.424,2:00:13.981,3-6,1:56:56.837,02:00:43.78519,,3-6,2:00:14.365,2:07:30.882,2:09:34.012,3-6,2:07:45.611,,2:05:10.089,3-6,2:02:02.847,2:04:09.445,2:10:03.017
