,,Rung 1,,,,Rung 2,,,6/19,Rung 3,,,,Rung 4,
,https://therun.gg/races/ek8u,,,,https://therun.gg/races/mf7m,,,,https://therun.gg/races/176v,,,,https://therun.gg/races/hlon,,
,Scynor,Ejpman,Jared,,Wiisuper,Lazer,Dahamster,,Herasmie,Revvylo,Garrison,,Jablaky,Flup,Charzight
1-1,02:12.001,00:02:11.47344,02:12.075,1-1,02:20.068,02:22.917,,1-1,02:12.491,02:21.842,,1-1,02:14.288,02:17.856,
1-2,05:05.736,00:04:58.39135,04:58.024,1-2,05:09.277,05:14.983,,1-2,05:03.500,05:13.772,,1-2,05:09.987,05:10.142,
1-3,07:54.357,00:07:47.37457,07:46.371,1-3,07:58.919,08:05.160,,1-3,07:53.800,08:03.874,,1-3,07:59.328,08:06.685,
1-4,11:47.873,00:11:47.93676,11:35.436,1-4,11:50.252,11:57.128,,1-4,12:49.585,11:55.907,,1-4,11:49.722,12:02.684,
1-5,16:36.901,00:16:54.54240,16:23.476,1-5,16:35.458,17:37.270,,1-5,18:01.200,17:07.605,,1-5,16:46.726,17:03.385,
1-6,20:48.243,00:20:56.15853,20:22.547,1-6,20:39.388,22:14.601,,1-6,22:10.155,21:24.821,,1-6,21:13.851,21:15.188,
2-1,25:15.856,00:25:32.46907,24:54.110,2-1,25:07.382,27:10.735,,2-1,26:43.534,26:21.152,,2-1,25:56.136,25:58.837,
2-2,30:47.886,00:30:50.99986,30:26.064,2-2,30:46.975,32:21.139,,2-2,32:04.330,31:32.974,,2-2,30:58.915,31:31.850,
2-3,35:00.764,00:35:11.67556,34:40.718,2-3,35:02.421,36:53.064,,2-3,36:26.187,36:04.303,,2-3,35:24.939,35:59.529,
2-4,38:32.491,00:38:38.48898,38:02.509,2-4,38:29.335,40:19.420,,2-4,40:07.068,40:21.017,,2-4,39:07.470,40:18.153,
2-5,40:22.955,00:40:25.45506,39:52.341,2-5,40:14.356,42:24.245,,2-5,42:07.694,42:12.567,,2-5,41:01.078,42:40.501,
2-6,42:45.902,00:42:48.65507,42:14.000,2-6,42:42.559,44:48.601,,2-6,44:31.674,45:12.305,,2-6,43:56.533,45:18.688,
4-1,49:10.161,00:49:18.12748,48:39.755,4-1,49:04.986,51:29.266,,4-1,51:08.370,51:52.095,,4-1,50:22.697,51:51.311,
4-2,54:35.124,00:54:34.98434,53:41.802,4-2,54:15.134,56:47.661,,4-2,57:01.223,57:15.263,,4-2,56:09.466,58:25.579,
4-3,58:22.967,00:58:21.79355,57:27.733,4-3,57:54.418,1:00:44.700,,4-3,1:00:45.503,1:01:10.385,,4-3,1:00:02.243,1:02:19.817,
4-4,1:02:19.824,01:02:19.47911,1:03:26.817,4-4,1:01:54.696,1:04:45.609,,4-4,1:04:46.348,1:05:46.268,,4-4,1:03:57.584,1:06:30.393,
4-5,1:06:27.978,01:06:55.08003,1:07:30.035,4-5,1:06:04.437,1:08:29.973,,4-5,1:09:01.716,1:10:13.783,,4-5,1:08:11.895,1:10:44.181,
4-6,1:10:56.735,01:11:26.74255,1:12:23.011,4-6,1:10:34.424,1:13:16.501,,4-6,1:13:42.965,1:14:57.137,,4-6,1:12:56.257,1:15:24.779,
6-1,1:17:21.523,01:17:32.13150,1:18:29.154,6-1,1:16:53.750,1:19:19.455,,6-1,1:20:13.015,1:21:25.289,,6-1,1:19:15.318,1:21:47.052,
6-2,1:21:58.486,01:22:33.96342,1:23:25,6-2,1:21:36.492,1:24:41.410,,6-2,1:25:42.487,1:26:21.529,,6-2,1:24:08.433,1:28:12.229,
6-3,1:24:52.823,01:25:24.75016,1:26:14.591,6-3,1:24:27.733,1:27:37.463,,6-3,1:28:46.144,1:29:26.259,,6-3,1:27:05.697,1:31:12.484,
6-4,1:31:28.735,01:32:06.07319,1:32:45.793,6-4,1:31:00.647,1:34:35.673,,6-4,1:35:42.624,1:37:16.977,,6-4,1:34:01.783,1:38:35.521,
