,,Rung 1,,,,Rung 2,,,,Rung 3,
,https://therun.gg/races/5bsb,,,,https://therun.gg/races/cmzo,,,,https://therun.gg/races/6k55,,
,WiiSuper,Ejpman,Flaminglazer,,Jared,Herasmie,Revvylo,,Dahamster,Jablaky,Garrison
1-1,02:12.798,00:02:19.34826,02:13.686,1-1,02:14.022,02:18.586,02:18.134,1-1,02:09.357,02:20.179,
1-2,05:27.137,00:05:07.32884,05:05.640,1-2,05:18.219,05:18.962,05:13.753,1-2,04:55.016,05:07.556,
1-3,08:16.960,00:07:55.73607,08:00.037,1-3,08:11.274,08:11.487,08:04.289,1-3,07:44.922,07:56.592,
1-4,12:09.766,00:11:49.08483,14:18.013,1-4,11:59.688,11:59.312,11:57.673,1-4,11:33.436,11:45.523,
1-5,17:04.715,00:17:11.18731,19:13.606,1-5,16:56.311,16:57.209,17:09.824,1-5,16:36.463,16:44.820,
1-6,21:01.922,00:21:23.62432,23:23.100,1-6,20:53.714,21:23.559,21:27.574,1-6,20:49.792,20:57.895,
2-1,25:33.135,00:26:00.07332,28:03.897,2-1,25:21.287,26:01.512,26:21.277,2-1,25:26.935,25:33.511,
2-2,30:27.492,00:31:27.22460,33:12.720,2-2,30:17.154,31:54.918,32:08.545,2-2,30:15.171,30:34.464,
2-3,34:45.007,00:35:50.99842,37:39.750,2-3,34:30.086,36:20.778,37:20.115,2-3,34:40.177,35:01.244,
2-4,38:01.022,00:39:25.51914,41:14.212,2-4,37:51.569,39:43.234,40:56.876,2-4,38:21.067,38:18.930,
2-5,39:48.617,00:41:16.17393,43:09.661,2-5,39:38.080,41:30.042,42:56.570,2-5,40:38.725,40:05.513,
2-6,42:14.215,00:43:39.54089,45:35.450,2-6,41:56.812,43:58.938,45:55.848,2-6,43:11.868,42:28.049,
4-1,48:37.128,00:50:06.74648,51:59.731,4-1,48:20.896,50:24.790,52:31.325,4-1,49:38.276,49:00.558,
4-2,53:46.831,00:55:10.96266,57:29.295,4-2,53:18.425,56:05.154,58:17.917,4-2,54:49.401,54:43.697,
4-3,57:28.680,00:58:57.14614,1:01:17.646,4-3,56:56.957,59:51.181,1:02:08.363,4-3,58:42.370,58:44.549,
4-4,1:01:26.131,01:03:06.36381,1:05:29.820,4-4,1:01:16.398,1:04:07.372,1:06:41.740,4-4,1:02:40.613,1:02:52.262,
4-5,1:06:11.401,01:07:31.89860,1:09:56.100,4-5,1:05:33.684,1:08:03.915,1:11:24.031,4-5,1:07:28.422,1:06:59.551,
4-6,1:10:46.718,01:12:04.41100,1:14:34.122,4-6,1:10:03.827,1:12:59.120,1:17:01.595,4-6,1:11:56.306,1:11:52.662,
6-1,1:16:48.767,01:18:09.06725,1:20:54.085,6-1,1:16:17.189,1:19:03.244,1:23:27.892,6-1,1:18:16.631,1:18:00.130,
6-2,1:21:44.973,01:23:13.49497,1:26:10.778,6-2,1:21:33.861,1:24:58.126,1:29:42.650,6-2,1:23:12.270,1:23:13.635,
6-3,1:24:37.282,01:26:05.88961,1:29:12.532,6-3,1:24:35.815,1:27:55.392,1:32:42.891,6-3,1:26:04.940,1:26:07.679,
6-4,1:31:14.436,01:32:48.60236,1:36:01.104,6-4,1:31:53.974,1:34:37.764,1:39:53.902,6-4,1:32:54.253,1:32:50.648,
6-5,1:33:48.833,01:35:15.10731,1:38:46.449,6-5,1:34:20.559,1:37:13.314,1:42:21.890,6-5,1:35:22.634,1:35:17.552,
6-6,1:38:48.212,01:40:28.34719,1:44:17.306,6-6,1:39:32.773,1:42:45.225,1:48:17.598,6-6,1:40:44.049,1:40:47.229,
3-1,1:43:41.245,01:44:57.56718,1:48:45.462,3-1,1:44:02.532,1:47:13.323,1:52:47.376,3-1,1:45:11.995,1:45:22.261,
3-2,1:47:54.919,01:49:14.86400,1:53:22.975,3-2,1:48:14.776,1:52:16.181,1:57:18.433,3-2,1:49:17.500,1:49:56.583,
3-3,1:49:11.068,01:50:34.53406,1:54:43.766,3-3,1:49:26.295,1:53:48.090,1:58:44.807,3-3,1:50:40.290,1:51:11.585,
3-4,1:53:06.006,01:54:33.43796,1:58:50.629,3-4,1:53:32.596,1:57:49.974,2:02:59.101,3-4,1:54:46.755,1:55:20.116,
3-5,1:55:17.911,01:58:00.79237,2:01:05.270,3-5,1:55:48.772,2:00:15.779,2:05:22.145,3-5,1:57:08.344,1:57:48.450,
3-6,1:58:14.518,02:00:23.01336,2:03:39.380,3-6,1:58:06.374,2:02:52.992,2:08:13.610,3-6,1:59:29.287,2:00:11.716,
5-1,2:04:23.178,02:06:45.13573,2:09:47.070,5-1,2:04:12.266,2:09:03.956,2:15:36.200,5-1,2:05:38.853,2:06:26.749,
5-2,2:08:06.687,02:10:35.01671,2:13:46.234,5-2,2:08:07.660,2:13:08.336,2:19:33.253,5-2,2:09:38.729,2:10:11.883,
5-3,2:11:48.970,02:14:24.18494,2:17:40.149,5-3,2:11:47.280,2:16:48.876,2:23:37.012,5-3,2:13:34.845,2:14:21.136,
5-4,2:16:41.270,02:19:20.43690,2:22:46.127,5-4,2:16:40.846,2:21:50.776,2:29:08.858,5-4,2:18:26.618,2:19:20.779,
5-5,2:19:56.798,02:24:14.77676,2:26:35.530,5-5,2:20:06.714,2:26:17.160,2:32:58.893,5-5,2:21:46.044,2:22:51.385,
5-6,2:24:48.806,02:29:54.20602,2:32:18.352,5-6,2:25:18.472,2:32:03.546,2:38:50.235,5-6,2:27:17.341,2:27:55.203,
