,Quarterfinals 1,,,,Quarterfinals 2,,,,Quarterfinals 3,,,,Quarterfinals 4,,,Semifinal 1,,,Semifinal 2,,,Grand Finals,
,https://therun.gg/races/uu9j,,,,https://therun.gg/races/4esl,,,,https://therun.gg/races/3pf4,,,,https://therun.gg/races/7ong,,,https://therun.gg/races/q6w0,,,https://therun.gg/races/tm2h,,,https://therun.gg/races/dgrk,
,Dragon,Frost,,,Scynor,WiiSuper,,,Herasmie,Anorak,,,Jared,Lazer,,Dragon,WiiSuper,,Herasmie,Jared,,WiiSuper,Jared
1-1,02:11.285,02:12.364,,1-1,02:08.849,02:08.874,,1-1,02:24.679,02:13.781,,1-1,02:08.788,02:09.422,1-1,02:10.655,02:12.257,1-1,02:28.500,02:12.698,1-1,02:11.096,02:09.085
1-2,05:11.637,05:05.943,,1-2,05:04.077,04:57.493,,1-2,05:13.245,04:57.148,,1-2,04:53.793,04:56.422,1-2,05:06.341,05:00.689,1-2,05:19.304,04:57.537,1-2,05:06.901,04:55.878
1-3,08:00.964,07:55.255,,1-3,07:58.334,07:46.142,,1-3,08:11.234,07:50.434,,1-3,07:46.889,07:45.181,1-3,07:57.925,07:57.663,1-3,08:14.617,07:45.820,1-3,07:56.437,07:44.252
1-4,11:50.477,14:22.873,,1-4,11:26.594,11:13.637,,1-4,12:25.795,11:47.961,,1-4,10:54.888,10:50.323,1-4,11:47.753,11:24.034,1-4,11:48.772,11:55.074,1-4,12:36.735,12:38.473
1-5,16:44.515,22:34.955,,1-5,16:11.596,16:29.405,,1-5,17:14.234,16:48.176,,1-5,15:57.560,16:02.671,1-5,16:42.555,16:24.888,1-5,17:23.005,16:47.690,1-5,17:32.120,17:30.201
1-6,20:40.269,26:37.650,,1-6,20:10.222,20:30.997,,1-6,21:32.701,21:01.021,,1-6,19:58.683,20:17.306,1-6,20:44.727,20:34.304,1-6,21:39.717,20:50.734,1-6,21:32.197,21:28.151
2-1,24:49.325,30:42.265,,2-1,24:26.910,24:37.618,,2-1,25:43.861,25:18.321,,2-1,24:07.147,24:33.770,2-1,24:57.509,24:43.373,2-1,26:10.411,25:12.004,2-1,25:44.847,25:34.470
2-2,29:55.094,35:30.243,,2-2,29:25.436,30:07.788,,2-2,30:38.002,30:20.972,,2-2,28:56.648,29:34.294,2-2,29:47.127,29:32.331,2-2,31:09.556,29:57.774,2-2,30:44.098,30:33.225
2-3,34:18.830,39:42.439,,2-3,33:37.822,34:20.944,,2-3,35:02.432,34:43.980,,2-3,33:08.322,33:57.516,2-3,34:11.476,33:49.561,2-3,35:27.481,34:13.970,2-3,34:59.923,34:46.589
2-4,37:50.537,43:05.076,,2-4,36:57.548,37:48.715,,2-4,38:29.172,38:16.143,,2-4,36:32.568,37:19.929,2-4,37:38.476,37:18.229,2-4,38:51.415,37:45.302,2-4,38:29.738,38:06.227
2-5,40:33.206,45:05.371,,2-5,38:45.237,39:35.000,,2-5,40:20.246,40:02.912,,2-5,38:21.612,39:16.684,2-5,39:27.299,39:02.317,2-5,41:01.319,39:49.519,2-5,40:20.397,40:03.002
2-6,42:54.752,47:26.344,,2-6,41:04.889,41:56.086,,2-6,42:44.011,42:26.162,,2-6,40:43.030,42:14.768,2-6,41:48.028,41:22.928,2-6,43:25.857,42:08.364,2-6,42:42.976,42:21.420
4-1,49:13.774,53:30.447,,4-1,47:11.465,47:55.841,,4-1,48:47.758,48:35.139,,4-1,46:44.281,48:22.315,4-1,48:06.921,47:27.674,4-1,49:30.038,48:11.161,4-1,48:52.266,48:33.587
4-2,54:28.449,58:27.284,,4-2,52:19.380,52:52.057,,4-2,53:51.814,53:32.841,,4-2,51:49.800,53:21.615,4-2,53:08.664,52:33.431,4-2,54:36.086,53:02.327,4-2,54:07.377,53:32.954
4-3,57:43.057,1:01:40.115,,4-3,55:52.412,56:12.052,,4-3,57:21.578,56:42.755,,4-3,55:03.267,56:36.320,4-3,56:22.480,55:49.344,4-3,57:51.867,57:00.487,4-3,57:23.484,56:53.350
4-4,1:01:46.033,1:06:04.220,,4-4,59:51.145,1:00:31.522,,4-4,1:01:26.929,1:00:59.160,,4-4,59:00.985,1:00:47.214,4-4,1:00:15.695,59:48.096,4-4,1:01:55.408,1:00:52.810,4-4,1:01:18.497,1:00:44.408
4-5,1:05:52.416,1:10:04.172,,4-5,1:04:00.818,1:04:17.526,,4-5,1:06:06.460,1:04:54.041,,4-5,1:02:46.193,1:04:32.219,4-5,1:03:57.916,1:03:37.415,4-5,1:05:46.643,1:05:44.778,4-5,1:05:32.185,1:04:36.165
4-6,1:10:29.156,1:14:28.244,,4-6,1:08:28.462,1:08:45.374,,4-6,1:10:34.896,1:09:41.555,,4-6,1:07:20.530,1:09:04.437,4-6,1:08:31.337,1:08:01.156,4-6,1:10:17.220,1:10:15.971,4-6,1:10:05.234,1:09:01.316
6-1,1:16:41.547,1:20:41.683,,6-1,1:14:27.735,1:14:52.457,,6-1,1:16:50.840,1:16:10.519,,6-1,1:13:29.296,1:15:14.687,6-1,1:14:47.959,1:14:14.495,6-1,1:16:16.343,1:16:41.231,6-1,1:16:21.700,1:15:04.205
6-2,1:21:30.936,1:25:26.416,,6-2,1:19:14.870,1:19:52.790,,6-2,1:21:48.857,1:20:43.471,,6-2,1:18:21.112,1:19:57.195,6-2,1:19:37.196,1:19:09.896,6-2,1:20:40.996,1:21:38.075,6-2,1:21:09.043,1:19:32.693
6-3,1:24:30.112,1:28:16.766,,6-3,1:22:07.834,1:22:43.456,,6-3,1:24:39.488,1:23:38.530,,6-3,1:21:12.942,1:23:03.561,6-3,1:22:29.408,1:21:59.605,6-3,1:23:32.479,1:24:33.719,6-3,1:23:59.261,1:22:25.291
