,,Rung 1,,,,Rung 2,,,,Rung 3,,,,Rung 4,,,,Rung 5,,,,Rung 6,,,,Rung 7,
,https://therun.gg/races/fa7t,,,,https://therun.gg/races/fxwl,,,,https://therun.gg/races/uamq,,,,https://therun.gg/races/zw8h,,,,https://therun.gg/races/qidk,,,,https://therun.gg/races/io2m,,,,https://therun.gg/races/bchu,,
,Frost,Jared,WiiSuper,,Scynor,Herasmie,Anorak,,Dragon,Lazer,Dimei,,Revvylo,Flup,Coolisen,,Phantom,Tfresh,TwiceLyte,,Charzight,Kwazrr,Thenzota,,Anonymous,Biksel,GamerOlive
1-1,02:13.585,02:15.506,02:09.850,1-1,02:24.831,02:17.955,02:11.776,1-1,02:16.378,02:10.782,02:20.765,1-1,02:29.769,02:42.906,02:09.899,1-1,02:11.998,02:12.046,02:27.896,1-1,02:11.053,02:28.052,02:13.444,1-1,02:27.321,02:22.394,02:35.650
1-2,04:56.647,05:00.498,04:57.002,1-2,05:31.767,05:02.989,05:05.416,1-2,05:12.107,05:03.782,05:10.575,1-2,05:27.497,05:36.520,05:06.891,1-2,05:07.227,05:05.620,05:29.034,1-2, 05:01.926,05:27.870,05:23.604,1-2,05:34.957,05:29.891,05:40.239
1-3,07:47.662,07:48.340,07:46.091,1-3,08:20.454,07:52.413,07:59.315,1-3,08:10.853,07:54.014,08:03.190,1-3,08:21.244,08:31.560,07:56.363,1-3,08:01.422,07:54.640,08:19.198,1-3,07:53.083,08:17.861,08:13.845,1-3,08:28.644,08:20.776,08:35.017
1-4,11:19.065,11:32.271,11:20.239,1-4,12:10.912,11:42.881,11:05.212,1-4,11:58.939,11:42.875,11:55.444,1-4,12:10.486,12:20.221,11:50.700,1-4,11:51.697,11:50.329,12:42.997,1-4,11:53.558,12:10.966,12:20.967,1-4,12:18.851,12:17.378,12:32.076
1-5,16:09.808,16:19.451,16:19.913,1-5,17:00.010,16:37.876,16:07.515,1-5,17:10.830,16:42.221,16:41.208,1-5,17:12.997,17:16.784,17:02.896,1-5,16:59.338,16:51.263,18:00.422,1-5,16:56.255,17:20.718,17:37.275,1-5,17:26.975,17:37.200,18:24.062
1-6,20:14.361,20:16.966,20:20.415,1-6,21:05.394,20:42.209,20:21.479,1-6,21:18.144,20:49.702,20:48.675,1-6,21:30.088,21:46.901,21:07.139,1-6,21:06.735,21:00.327,22:10.242,1-6,21:08.316,21:37.464,21:57.044,1-6,21:39.565,22:13.199,22:39.876
2-1,24:27.896,24:28.575,24:47.575,2-1,25:25.212,24:51.027,24:41.108,2-1,25:31.580,25:15.819,25:06.539,2-1,25:48.007,26:33.512,25:30.512,2-1,25:27.489,25:28.739,26:35.747,2-1,25:30.769,26:02.587,26:35.037,2-1,26:12.043,26:41.799,27:16.923
2-2,29:19.937,29:20.162,29:37.378,2-2,30:42.778,29:55.668,29:44.903,2-2,30:24.026,30:05.472,30:32.149,2-2,30:54.904,32:18.615,30:41.345,2-2,30:31.854,30:48.105,32:02.549,2-2,30:23.672,31:19.995,32:20.102,2-2,31:28.024,32:01.758,32:28.626
