,,Rung 1,,,,Rung 2,,,,Rung 3,,,,Rung 4,,,,Rung 5,
,https://therun.gg/races/61kp,,,,https://therun.gg/races/ncqm,,,,https://therun.gg/races/zrfp,,,,https://therun.gg/races/m8ls,,,,https://therun.gg/races/vrov,,
,Herasmie,Wiisuper,Dragon,,Scynor,Anorak,Dimei,,Phantom,Lazer,Tfresh,,Coolisen,Revvylo,TwiceLyte,,Charzight,Flup,Anonymous
1-1,02:17.484,02:09.642,02:13.553,1-1,02:07.929,02:10.890,02:28.000,1-1,02:27.233,02:12.432,02:15.162,1-1,02:08.221,02:10.896,02:17.537,1-1,02:09.739,02:13.213,02:32.855
1-2,05:21.512,04:58.653,05:01.695,1-2,05:01.584,04:57.845,05:20.222,1-2,05:20.451,04:58.317,05:15.790,1-2,04:56.584,05:04.540,05:11.722,1-2,05:00.906,05:22.730,05:36.495
1-3,08:13.524,07:47.297,07:50.922,1-3,07:52.693,07:46.140,08:09.340,1-3,08:12.376,07:50.556,08:12.921,1-3,07:45.938,07:55.104,08:04.442,1-3,07:51.938,08:12.406,08:28.054
1-4,11:44.567,11:19.676,11:39.132,1-4,11:36.630,11:23.533,14:48.855,1-4,12:05.132,11:02.975,12:12.383,1-4,11:41.548,11:52.525,12:06.886,1-4,11:26.537,12:01.709,13:24.095
1-5,16:35.346,16:18.714,16:38.832,1-5,16:25.890,17:07.006,19:27.176,1-5,17:09.459,16:41.155,17:10.683,1-5,16:40.618,17:34.692,17:10.902,1-5,16:22.095,17:34.114,18:35.148
1-6,20:41.014,20:19.047,20:34.471,1-6,20:20.586,21:08.827,23:33.298,1-6,21:26.272,20:50.965,21:10.322,1-6,21:06.233,21:59.945,21:16.444,1-6,20:29.970,21:47.535,22:51.273
2-1,24:52.759,24:48.128,24:47.791,2-1,24:32.812,25:33.430,28:06.847,2-1,25:42.798,25:18.251,25:31.090,2-1,25:29.312,26:27.238,25:40.029,2-1,24:45.153,26:03.973,27:17.312
2-2,29:55.384,30:05.548,29:44.576,2-2,29:39.128,30:26.675,33:23.852,2-2,30:55.794,31:31.282,30:42.299,2-2,30:24.223,32:00.479,30:47.191,2-2,29:54.587,30:51.102,32:34.292
2-3,34:17.520,34:21.211,34:16.578,2-3,33:55.096,34:46.874,38:20.609,2-3,35:18.836,35:56.356,35:15.469,2-3,34:50.676,36:27.525,35:11.865,2-3,34:16.893,35:15.197,37:10.477
2-4,37:46.726,37:54.980,37:56.875,2-4,37:16.536,38:27.620,42:01.098,2-4,38:57.480,39:50.127,38:55.657,2-4,38:29.887,40:15.385,38:44.877,2-4,37:51.515,38:42.484,41:02.065
2-5,39:38.906,39:42.286,40:18.057,2-5,39:02.706,40:18.524,43:56.335,2-5,40:56.779,41:37.390,41:13.506,2-5,40:19.962,42:47.633,40:48.735,2-5,39:44.254,40:54.392,42:56.505
2-6,42:01.955,42:04.294,42:43.237,2-6,42:01.749,43:12.153,46:23.750,2-6,43:21.982,44:01.401,43:34.761,2-6,42:48.699,45:12.685,43:13.160,2-6,42:08.172,43:23.294,45:24.215
4-1,48:22.121,48:05.138,48:53.267,4-1,48:13.868,49:23.999,52:27.739,4-1,49:32.811,50:23.420,49:52.576,4-1,48:54.337,51:27.767,49:33.519,4-1,48:17.154,49:42.015,51:50.340
4-2,53:23.782,53:06.136,54:25.096,4-2,53:25.536,54:46.011,57:35.182,4-2,54:53.154,55:56.442,54:53.362,4-2,54:11.007,56:34.346,57:24.416,4-2,54:03.257,54:47.063,57:33.698
4-3,56:33.558,56:20.980,57:45.232,4-3,56:58.595,58:01.884,1:00:55.585,4-3,58:17.475,59:16.132,58:15.312,4-3,57:34.182,59:54.746,1:00:53.765,4-3,57:17.442,58:32.466,1:01:16.941
4-4,1:00:35.340,1:00:17.465,1:01:41.323,4-4,1:00:57.148,1:01:56.973,1:05:09.325,4-4,1:02:15.990,1:03:27.539,1:02:21.702,4-4,1:01:54.912,1:04:33.626,1:05:11.716,4-4,1:01:17.980,1:02:58.828,1:05:21.171
