,,Rung 1,,,,Rung 2,,,,Rung 3,,,,Rung 4,
,https://therun.gg/races/zisp,,,,https://therun.gg/races/f1o1,,,,https://therun.gg/races/yetw,,,,https://therun.gg/races/zmzp,,
,Scynor,Wiisuper,Anorak,,Dragon,Lazer,Phantom,,Dimei,Charzight,Coolisen,,Tfresh,Twicelyte,Revvylo
1-1,02:09.851,02:11.219,02:16.693,1-1,02:20.147,02:19.294,02:24.006,1-1,02:18.733,02:10.362,02:11.099,1-1,02:09.990,02:12.003,02:12.415
1-2,04:57.537,04:58.221,05:13.588,1-2,05:17.405,05:04.830,05:20.251,1-2,05:15.233,04:58.322,05:12.518,1-2,05:36.872,05:13.400,05:03.490
1-3,07:48.382,07:47.120,08:01.552,1-3,08:06.376,07:53.733,08:13.132,1-3,08:05.193,07:50.764,08:12.590,1-3,08:26.245,08:07.222,07:57.085
1-4,11:27.635,14:21.840,11:13.196,1-4,11:56.251,11:10.429,12:06.386,1-4,12:04.149,11:57.125,12:02.837,1-4,14:31.716,12:02.748,11:47.205
1-5,16:15.650,19:11.584,16:23.931,1-5,17:01.788,16:45.534,17:04.472,1-5,17:05.056,17:11.151,16:55.939,1-5,19:49.248,17:13.775,16:45.994
1-6,20:22.500,23:18.241,20:31.975,1-6,20:57.309,20:49.707,21:12.342,1-6,21:10.001,21:17.765,21:16.676,1-6,23:55.818,21:41.521,21:13.434
2-1,24:41.947,27:44.779,24:53.184,2-1,25:07.215,25:15.539,25:29.439,2-1,25:29.699,25:53.698,25:53.913,2-1,28:07.600,26:05.276,25:35.044
2-2,29:41.290,32:28.650,30:01.655,2-2,30:16.626,30:39.511,30:32.038,2-2,30:23.469,30:53.769,31:15.071,2-2,33:26.365,31:31.188,31:00.061
2-3,34:00.396,36:37.295,34:21.732,2-3,34:37.460,35:00.155,34:59.310,2-3,34:51.332,35:21.891,35:54.344,2-3,37:45.859,36:03.754,35:26.027
2-4,37:30.182,40:02.201,37:53.621,2-4,38:05.214,38:30.039,38:33.062,2-4,38:35.666,39:06.840,39:26.192,2-4,41:18.761,39:35.836,39:00.364
2-5,39:17.022,41:46.454,39:53.713,2-5,39:51.245,40:24.834,40:29.444,2-5,41:01.383,41:03.384,41:14.732,2-5,43:15.344,42:03.366,41:01.384
2-6,41:37.700,44:06.197,42:19.785,2-6,42:13.589,42:47.114,43:29.250,2-6,43:28.618,43:24.901,43:38.991,2-6,45:38.525,44:26.773,43:26.954
4-1,47:47.865,50:06.660,48:37.642,4-1,48:24.664,48:51.458,49:44.138,4-1,49:37.173,49:36.976,50:09.918,4-1,51:45.267,50:39.191,49:40.370
4-2,53:05.309,55:07.631,53:54.880,4-2,53:22.372,53:53.722,55:06.386,4-2,54:40.695,55:14.922,56:53.918,4-2,56:51.848,56:11.886,55:07.370
4-3,56:39.661,58:22.649,57:15.131,4-3,56:38.936,57:17.734,58:33.248,4-3,57:57.775,58:39.681,1:00:53.125,4-3,1:00:09.406,59:45.895,58:28.023
4-4,1:00:40.686,1:02:18.461,1:01:11.772,4-4,1:00:40.140,1:01:37.569,1:03:19.831,4-4,1:02:40.349,1:02:51.479,1:05:16.181,4-4,1:04:28.387,1:03:50.003,1:02:35.345
4-5,1:04:49.477,1:06:16.243,1:05:51.417,4-5,1:05:00.836,1:05:38.154,1:07:58.093,4-5,1:06:36.351,1:08:02.907,1:09:47.036,4-5,1:09:19.130,1:07:49.388,1:08:15.803
4-6,1:09:15.423,1:10:44.016,1:10:32.222,4-6,1:09:50.805,1:10:52.282,1:12:29.736,4-6,1:11:30.423,1:13:08.327,1:14:22.821,4-6,1:13:58.531,1:12:29.351,1:12:52.005
6-1,1:15:23.944,1:16:46.552,1:17:06.615,6-1,1:16:24.779,1:17:02.035,1:18:33.671,6-1,1:17:41.187,1:19:24.364,1:22:09.427,6-1,1:20:08.576,1:18:51.722,1:20:18.368
6-2,1:20:41.392,1:21:34.306,1:21:54.613,6-2,1:21:22.486,1:22:04.312,1:23:23.729,6-2,1:22:49.119,1:25:33.289,1:28:14.186,6-2,1:25:17.818,1:23:56.438,1:25:18.409
6-3,1:23:33.628,1:24:30.150,1:24:54.767,6-3,1:24:14.133,1:25:16.251,1:26:17.335,6-3,1:25:44.956,1:28:29.448,1:31:19.637,6-3,1:28:14.042,1:26:53.924,1:28:19.804
6-4,1:30:06.517,1:31:00.992,1:31:02.376,6-4,1:31:01.951,1:31:26.564,1:33:16.765,6-4,1:32:02.835,1:35:02.279,1:38:22.699,6-4,1:35:04.851,1:33:40.362,1:35:01.033
6-5,1:32:34.971,1:33:27.293,1:33:40.100,6-5,1:33:27.932,1:33:57.188,1:36:01.573,6-5,1:34:28.881,1:37:30.972,1:40:56.513,6-5,1:37:32.337,1:36:06.608,1:38:22.389
6-6,1:37:59.525,1:38:33.061,1:39:01.206,6-6,1:38:48.975,1:39:35.549,1:41:25.877,6-6,1:40:06.274,1:42:47.217,1:46:47.647,6-6,1:43:11.636,1:42:00.193,1:43:52.783
3-1,1:42:28.956,1:43:00.020,1:43:32.363,3-1,1:43:17.794,1:44:10.027,1:46:07.236,3-1,1:44:56.633,1:47:23.649,1:51:17.923,3-1,1:47:41.566,1:46:33.180,1:48:23.695
3-2,1:46:37.767,1:47:07.809,1:47:52.501,3-2,1:47:37.734,1:48:25.921,1:50:29.418,3-2,1:49:41.638,1:52:48.875,1:55:45.965,3-2,1:51:55.536,1:51:30.843,1:53:16.254
3-3,1:47:57.164,1:48:16.538,1:48:58.521,3-3,1:48:55.634,1:49:38.494,1:51:43.604,3-3,1:51:08.961,1:53:58.934,1:57:05.095,3-3,1:53:11.802,1:52:45.544,1:54:38.549
3-4,1:51:56.137,1:52:14.196,1:53:13.253,3-4,1:52:52.588,1:53:36.052,1:55:54.878,3-4,1:55:17.253,1:58:36.684,2:01:35.693,3-4,1:57:08.661,1:56:48.697,1:58:47.929
3-5,1:54:16.911,1:54:27.160,1:55:35.279,3-5,1:55:03.720,1:55:48.856,1:58:12.670,3-5,1:57:45.807,2:00:51.246,2:03:57.909,3-5,1:59:35.387,1:59:13.873,2:01:44.534
3-6,1:56:34.931,1:56:49.018,1:58:00.459,3-6,1:57:23.081,1:58:04.324,2:00:32.817,3-6,2:00:07.621,2:03:12.338,2:06:49.119,3-6,2:01:58.651,2:01:37.501,2:04:23.995
5-1,2:02:39.706,2:02:50.779,2:04:17.163,5-1,2:03:40.352,2:04:14.820,2:07:13.946,5-1,2:06:33.215,2:09:27.173,2:13:24.835,5-1,2:08:12.042,2:08:04.704,2:11:19.177
5-2,2:06:13.325,2:06:35.474,2:07:51.475,5-2,2:07:37.273,2:07:44.091,2:10:56.377,5-2,2:10:09.128,2:13:19.900,2:18:21.400,5-2,2:12:04.726,2:11:37.394,2:15:42.661
5-3,2:09:38.499,2:10:22.122,2:11:49.980,5-3,2:11:27.719,2:11:22.357,2:14:42.482,5-3,2:14:00.786,2:17:21.013,2:23:19.572,5-3,2:15:38.282,2:15:29.487,2:19:51.567
5-4,2:14:35.952,2:15:16.477,2:16:50.657,5-4,2:16:25.511,2:16:39.631,2:19:53.349,5-4,2:19:31.466,2:22:37.271,2:28:44.195,5-4,2:20:46.132,2:20:34.390,2:25:50.331
5-5,2:17:59.894,2:19:03.066,2:20:18.979,5-5,2:19:59.299,2:20:29.428,2:23:24.687,5-5,2:23:38.877,2:27:39.800,2:33:48.936,5-5,2:24:24.779,2:23:59.426,2:29:13.911
5-6,2:23:07.837,2:24:33.956,2:26:30.054,5-6,2:24:54.552,2:25:29.696,2:29:44.203,5-6,2:28:57.409,2:32:33.708,2:45:42.857,5-6,2:29:30.155,2:29:50.967,2:38:01.917
