,,Rung 1,,,,Rung 2,,,,Rung 3,
,https://therun.gg/races/yq1h,,,,https://therun.gg/races/3v36,,,,https://therun.gg/races/0zsr,,
,Wiisuper,Dragon,Lazer,,Tfresh,Anorak,Dimei,,Phantom,Charzight,Coolison
1-1,02:14.019,02:14.946,02:10.454,1-1,02:11.672,02:14.717,02:23.097,1-1,02:19.055,02:14.065,02:12.666
1-2,04:57.258,05:07.850,04:56.827,1-2,05:04.803,05:01.574,05:10.113,1-2,05:11.775,04:57.896,05:00.112
1-3,07:48.697,07:57.985,07:50.461,1-3,07:54.526,07:53.836,07:59.987,1-3,08:02.099,07:48.368,07:48.479
1-4,11:25.193,11:52.419,10:57.670,1-4,11:50.466,11:58.567,14:10.961,1-4,11:50.539,14:05.690,11:38.595
1-5,16:10.807,16:38.781,15:50.849,1-5,16:39.338,16:54.727,18:49.989,1-5,16:45.141,19:17.631,16:49.357
1-6,20:15.947,20:43.239,20:03.565,1-6,20:41.884,21:36.177,22:52.908,1-6,20:49.479,23:19.961,20:49.854
2-1,24:30.315,24:52.993,24:17.548,2-1,25:05.456,25:55.736,27:19.670,2-1,25:17.872,27:34.039,25:22.609
2-2,29:29.377,30:04.415,29:20.626,2-2,30:13.011,30:49.664,32:22.726,2-2,30:18.731,32:45.224,31:13.484
2-3,33:47.464,34:33.914,33:49.826,2-3,34:40.935,35:06.320,36:39.956,2-3,34:37.301,37:13.297,35:37.324
2-4,37:12.945,37:52.083,37:10.292,2-4,38:10.130,38:25.818,40:23.896,2-4,38:21.121,40:37.868,39:31.803
2-5,38:59.869,39:41.081,39:27.664,2-5,40:12.477,40:26.676,42:31.205,2-5,40:21.422,42:30.765,41:36.633
2-6,41:21.168,42:03.782,42:19.263,2-6,42:38.223,43:32.320,44:52.820,2-6,42:47.125,44:51.654,44:37.690
4-1,47:21.706,48:12.872,48:27.548,4-1,48:46.061,49:40.791,50:59.643,4-1,48:56.274,50:59.150,50:45.551
4-2,52:37.922,53:24.376,53:21.207,4-2,53:46.550,54:34.351,56:49.193,4-2,54:07.588,56:58.085,55:44.258
4-3,55:49.222,56:40.042,57:29.191,4-3,57:01.151,57:55.665,1:00:15.965,4-3,57:36.981,1:00:16.442,59:08.241
4-4,59:48.541,1:00:44.031,1:01:33.407,4-4,1:01:01.962,1:01:47.726,1:04:13.376,4-4,1:01:46.142,1:04:32.730,1:04:08.505
4-5,1:03:35.826,1:04:31.326,1:05:15.377,4-5,1:05:23.747,1:05:35.618,1:08:08.448,4-5,1:06:04.420,1:09:34.350,1:07:53.456
4-6,1:08:12.217,1:09:01.511,1:09:46.768,4-6,1:09:57.729,1:10:06.614,1:12:46.114,4-6,1:10:45.006,1:14:29.349,1:12:29.208
6-1,1:14:13.361,1:15:17.158,1:16:27.718,6-1,1:16:06.303,1:16:42.585,1:19:17.554,6-1,1:17:20.606,1:21:14.893,1:18:48.896
6-2,1:18:57.095,1:20:09.548,1:21:19.925,6-2,1:20:50.856,1:21:19.971,1:24:00.644,6-2,1:22:42.162,1:27:03.068,1:23:48.544
6-3,1:21:48.544,1:23:01.808,1:24:18.189,6-3,1:23:54.017,1:24:15.375,1:26:56.234,6-3,1:25:45.991,1:29:55.902,1:27:02.054
6-4,1:28:18.682,1:29:26.301,1:30:29.143,6-4,1:30:37.581,1:30:25.649,1:33:14.205,6-4,1:33:22.905,1:36:22.723,1:34:08.654
6-5,1:30:45.716,1:31:52.822,1:32:58.365,6-5,1:33:03.678,1:33:17.680,1:35:57.791,6-5,1:35:55.152,1:38:48.020,1:36:36.008
6-6,1:36:03.159,1:37:08.701,1:38:52.110,6-6,1:38:22.233,1:38:41.201,1:41:37.656,6-6,1:41:44.977,1:44:18.514,1:42:18.980
3-1,1:40:30.069,1:41:35.872,1:43:25.924,3-1,1:42:51.779,1:43:11.671,1:46:10.444,3-1,1:46:12.658,1:48:49.345,1:46:48.798
3-2,1:44:46.339,1:46:21.125,1:47:30.593,3-2,1:47:32.828,1:47:40.115,1:50:54.362,3-2,1:50:34.522,1:53:47.667,1:51:05.310
3-3,1:45:57.949,1:47:43.356,1:48:44.750,3-3,1:48:59.673,1:48:58.734,1:52:16.284,3-3,1:51:56.611,1:54:55.246,1:52:39.766
3-4,1:49:48.223,1:51:38.580,1:53:13.882,3-4,1:53:14.822,1:53:06.007,1:56:17.643,3-4,1:56:07.479,1:59:09.499,1:56:53.127
