,,Rung 1,,,,Rung 2,
,https://therun.gg/races/p1qj,,,,https://therun.gg/races/yfs4,,
,Anorak,Dragon,Tfresh,,FlamingLazer,Phantom,Dimei
1-1,02:20.409,02:13.749,02:12.670,1-1,02:10.043,,02:25.340
1-2,05:13.514,05:08.390,05:07.113,1-2,05:31.928,,05:11.086
1-3,08:02.430,07:58.391,07:56.953,1-3,08:23.739,,08:01.701
1-4,11:39.479,11:46.921,11:51.994,1-4,11:37.401,11:50.000,11:58.292
1-5,16:26.140,16:39.569,16:41.478,1-5,16:40.555,17:15.000,16:40.594
1-6,21:00.264,20:36.338,21:16.574,1-6,20:44.033,21:27.000,20:47.433
2-1,25:16.827,24:44.614,25:31.439,2-1,25:05.756,25:56.000,25:00.792
2-2,30:31.787,29:37.433,31:13.406,2-2,29:57.273,30:49.000,30:04.348
2-3,34:50.656,33:58.996,35:48.707,2-3,34:12.690,35:21.000,34:36.256
2-4,38:21.860,37:18.460,39:29.877,2-4,37:40.524,,38:11.866
2-5,40:22.673,39:04.581,41:20.340,2-5,39:40.005,40:53.000,39:59.857
2-6,42:47.194,41:26.439,43:44.738,2-6,42:06.619,43:17.000,42:25.616
4-1,49:07.648,47:34.516,49:49.407,4-1,48:19.874,,48:33.143
4-2,54:13.334,52:29.552,54:56.625,4-2,53:50.185,,53:47.587
4-3,57:52.576,55:44.249,58:17.026,4-3,57:03.831,58:29.000,57:37.320
4-4,1:01:52.198,59:39.428,1:02:21.031,4-4,1:01:03.287,1:02:34.000,1:02:29.459
4-5,1:06:14.126,1:03:28.585,1:06:34.979,4-5,1:05:03.889,1:06:45.000,1:07:54.719
4-6,1:11:01.328,1:07:58.676,1:11:04.445,4-6,1:09:36.502,1:11:23.000,1:12:33.763
6-1,1:17:32.282,1:14:31.559,1:17:33.949,6-1,1:16:35.626,1:17:33.000,1:18:35.745
6-2,1:22:37.519,1:19:18.488,1:22:30.443,6-2,1:21:28.078,1:22:21.000,1:23:30.885
6-3,1:25:33.490,1:22:15.729,1:25:22.482,6-3,1:24:18.858,1:25:23.000,1:26:38.103
6-4,1:31:42.500,1:28:45.921,1:32:27.258,6-4,1:31:05.155,,1:33:09.314
6-5,1:34:24.492,1:31:12.013,1:35:05.296,6-5,1:33:33.983,1:34:44.000,1:35:33.887
6-6,1:39:42.260,1:36:39.294,1:41:11.999,6-6,1:38:46.723,1:39:59.000,1:40:53.833
3-1,1:44:12.622,1:41:13.540,1:45:41.836,3-1,1:43:14.186,,1:45:26.734
3-2,1:49:16.028,1:49:14.257,1:50:01.820,3-2,1:47:11.060,,1:49:43.270
3-3,1:50:30.604,1:50:46.248,1:51:18.347,3-3,1:48:26.772,1:50:31.000,1:51:01.703
3-4,1:54:35.989,1:54:37.449,1:55:17.537,3-4,1:52:28.727,1:54:44.000,1:55:04.565
3-5,1:57:08.428,1:56:51.772,1:57:46.599,3-5,1:54:45.798,1:57:05.000,1:57:21.383
3-6,1:59:44.588,1:59:12.173,2:00:29.894,3-6,1:57:30.881,1:59:25.000,2:00:02.483
5-1,2:05:57.733,2:05:18.009,2:06:34.897,5-1,2:03:28.525,2:05:29.000,2:06:30.646
5-2,2:09:26.829,2:08:50.667,2:10:11.635,5-2,2:06:57.875,2:05:29.000,2:10:50.219
5-3,2:13:01.807,2:12:54.702,2:13:48.313,5-3,2:10:27.059,2:12:35.000,2:14:32.098
5-4,2:18:04.483,2:17:43.020,2:19:22.959,5-4,2:15:18.648,2:17:35.000,2:19:39.627
5-5,2:21:38.079,2:21:28.530,2:22:49.487,5-5,2:18:30.064,2:22:13.000,2:23:00.301
5-6,2:26:35.195,2:26:38.323,2:28:28.240,5-6,2:23:26.981,2:27:31.000,2:29:06.015
