,,Rung 1,
,https://therun.gg/races/dcrq,,
,Lazer,Dragon,Tfresh
1-1,02:13.220,02:12.753,02:15.470
1-2,05:00.959,05:46.283,05:08.428
1-3,07:52.060,08:37.976,07:58.608
1-4,10:55.015,12:26.792,11:55.017
1-5,15:39.301,17:25.067,16:54.230
1-6,19:50.156,21:36.780,21:08.195
2-1,24:13.898,25:53.912,25:27.297
2-2,29:16.372,31:08.910,30:50.681
2-3,33:40.407,35:31.499,35:18.414
2-4,37:05.033,38:58.686,38:42.892
2-5,38:52.543,41:17.590,40:59.068
2-6,41:14.379,43:36.911,43:20.054
4-1,47:30.311,49:44.611,49:25.808
4-2,52:38.935,54:39.506,54:33.451
4-3,55:49.802,58:00.782,58:09.297
4-4,59:58.908,1:01:54.428,1:02:23.860
4-5,1:04:20.549,1:05:38.668,1:06:39.827
4-6,1:09:06.847,1:10:33.865,1:11:10.385
6-1,1:15:11.545,1:16:49.582,1:17:18.730
6-2,1:20:01.982,1:21:40.881,1:22:18.890
6-3,1:22:55.376,1:24:44.720,1:25:20.506
6-4,1:29:36.803,1:30:58.102,1:31:54.419
6-5,1:32:12.493,1:33:26.345,1:34:37.441
6-6,1:37:22.075,1:38:47.284,1:40:25.003
3-1,1:41:48.562,1:43:13.586,1:45:00.396
3-2,1:45:49.522,1:47:29.866,
3-3,1:47:09.523,1:49:02.967,
3-4,1:51:17.123,1:53:01.994,
3-5,1:53:32.614,1:55:59.399,
3-6,1:55:51.246,1:58:18.198,
5-1,2:02:04.087,2:04:26.328,
5-2,2:05:39.602,2:08:09.169,
5-3,2:09:07.225,2:12:19.370,
5-4,2:14:08.205,2:17:16.654,
5-5,2:18:01.773,2:20:35.568,
5-6,2:23:14.688,2:25:29.653,DNF
