,Quarterfinals 1,,,,Quarterfinals 2,,,,Quarterfinals 3,,,,Quarterfinals 4,,,Semifinal 1,,,Semifinal 2,,,Grand Finals,
,https://therun.gg/races/069t,,,,https://therun.gg/races/shd8,,,,https://therun.gg/races/opmv,,,,https://therun.gg/races/i3vz,,,https://therun.gg/races/b11m,,,https://therun.gg/races/lvgj,,,https://therun.gg/races/2i5r,
,Zac,Dahamster,,,ERoadhouse,Scynor,,,FrostByte,WiiSuper,,,Ginger,Jared,,Zac,Eroadhouse,,WiiSuper,Jared,,Eroadhouse,Jared
1-1,02:09.588,02:10.537,,1-1,02:07.468,02:15.199,,1-1,02:08.898,02:10.565,,1-1,02:15.893,02:09.921,1-1,02:09.022,02:07.935,1-1,02:09.553,02:10.057,1-1,02:07.028,02:11.085
1-2,04:54.593,04:59.043,,1-2,04:59.727,05:09.398,,1-2,04:55.172,04:56.404,,1-2,05:07.896,05:14.979,1-2,04:56.235,04:54.048,1-2,04:58.232,04:55.676,1-2,04:55.412,05:07.682
1-3,07:42.408,07:50.220,,1-3,07:47.716,07:57.260,,1-3,07:44.814,07:45.560,,1-3,07:56.421,08:03.544,1-3,07:44.301,07:42.041,1-3,07:47.086,07:44.452,1-3,07:43.512,07:59.445
1-4,11:30.217,11:43.322,,1-4,11:50.163,11:45.842,,1-4,11:33.628,11:33.610,,1-4,11:47.353,11:53.994,1-4,11:35.285,11:30.148,1-4,11:35.203,11:33.175,1-4,11:36.179,12:00.272
1-5,16:12.132,16:31.655,,1-5,16:47.093,17:00.478,,1-5,16:24.635,16:18.085,,1-5,16:34.843,16:40.810,1-5,16:27.310,16:23.223,1-5,16:23.218,16:33.700,1-5,16:29.427,16:44.591
1-6,20:16.123,20:40.696,,1-6,20:41.232,21:14.612,,1-6,20:24.052,20:14.302,,1-6,20:45.237,20:53.670,1-6,20:34.715,20:41.475,1-6,20:20.404,20:31.718,1-6,20:35.337,20:41.973
2-1,24:51.300,25:11.732,,2-1,25:14.160,25:52.454,,2-1,24:54.670,24:51.824,,2-1,25:19.205,25:23.280,2-1,25:10.784,25:08.438,2-1,24:47.316,24:58.223,2-1,25:06.954,25:08.102
2-2,29:43.431,30:09.878,,2-2,30:02.120,30:42.801,,2-2,29:44.875,29:58.007,,2-2,30:34.828,30:15.036,2-2,30:09.534,30:01.329,2-2,29:41.866,29:49.715,2-2,29:53.699,29:57.153
2-3,34:01.657,34:30.921,,2-3,34:16.264,35:06.431,,2-3,34:00.569,34:09.633,,2-3,34:47.261,34:28.638,2-3,34:25.347,34:23.769,2-3,33:57.352,34:04.621,2-3,34:14.060,34:15.128
2-4,37:25.171,38:43.593,,2-4,37:42.544,38:32.195,,2-4,37:41.316,37:42.640,,2-4,38:11.768,38:04.948,2-4,38:01.874,37:53.688,2-4,37:22.869,37:37.424,2-4,37:42.903,37:47.945
2-5,39:10.522,40:35.723,,2-5,39:27.169,40:18.627,,2-5,39:27.560,39:27.143,,2-5,39:57.608,40:02.711,2-5,39:47.470,39:42.814,2-5,39:07.410,39:27.918,2-5,39:27.895,39:39.003
2-6,41:33.003,42:59.065,,2-6,41:52.254,42:40.188,,2-6,41:49.450,41:48.738,,2-6,42:19.592,42:21.060,2-6,42:09.955,42:04.005,2-6,41:29.527,41:51.100,2-6,41:50.310,42:00.284
4-1,47:39.480,49:11.514,,4-1,47:56.923,48:44.497,,4-1,47:52.015,47:53.561,,4-1,48:28.660,48:23.743,4-1,48:10.256,48:06.459,4-1,47:32.982,47:54.546,4-1,47:53.368,48:01.899
4-2,52:33.483,54:22.686,,4-2,53:22.607,53:41.969,,4-2,52:47.875,53:08.667,,4-2,53:34.500,53:41.522,4-2,53:07.088,53:05.137,4-2,52:36.022,52:59.379,4-2,52:53.818,53:04.126
4-3,56:11.067,58:04.115,,4-3,57:02.205,57:42.487,,4-3,56:28.766,56:48.993,,4-3,57:21.899,57:24.025,4-3,56:50.316,56:46.135,4-3,56:16.139,56:40.533,4-3,56:33.325,56:41.691
4-4,1:00:31.255,1:02:06.014,,4-4,1:00:58.290,1:01:47.810,,4-4,1:00:25.748,1:00:45.583,,4-4,1:01:32.859,1:01:25.620,4-4,1:00:53.158,1:00:40.293,4-4,1:00:16.584,1:00:41.370,4-4,1:00:29.773,1:00:42.129
4-5,1:04:48.470,1:06:11.965,,4-5,1:05:08.025,1:05:56.642,,4-5,1:05:27.259,1:04:53.377,,4-5,1:06:19.857,1:05:35.550,4-5,1:04:34.993,1:04:49.053,4-5,1:04:29.093,1:04:45.152,4-5,1:04:21.258,1:04:59.331
4-6,1:09:22.420,1:10:39.030,,4-6,1:09:35.392,1:10:26.194,,4-6,1:10:04.335,1:09:18.992,,4-6,1:10:55.071,1:10:04.815,4-6,1:09:07.965,1:09:19.034,4-6,1:09:00.293,1:09:17.682,4-6,1:08:48.767,1:09:30.811
6-1,1:15:35.924,1:16:45.179,,6-1,1:15:37.736,1:17:00.231,,6-1,1:16:07.325,1:15:29.118,,6-1,1:17:12.162,1:16:19.677,6-1,1:15:13.742,1:16:10.938,6-1,1:15:01.772,1:15:30.302,6-1,1:15:09.645,1:15:39.146
6-2,1:20:19.373,1:21:42.969,,6-2,1:20:16.312,1:21:44.054,,6-2,1:21:09.073,1:20:20.931,,6-2,1:21:56.061,1:21:14.835,6-2,1:20:28.916,1:20:49.527,6-2,1:19:51.123,1:20:09.667,6-2,1:19:44.190,1:20:19.639
6-3,1:23:20.810,1:24:38.598,,6-3,1:23:09.629,1:24:38.107,,6-3,1:24:01.985,1:23:16.998,,6-3,1:24:46.086,1:24:06.983,6-3,1:23:20.406,1:23:38.965,6-3,1:22:41.775,1:23:02.367,6-3,1:22:40.597,1:23:10.945
6-4,1:29:32.673,1:30:43.164,,6-4,1:29:21.073,1:31:01.519,,6-4,1:30:14.134,1:30:05.321,,6-4,1:31:29.541,1:30:32.671,6-4,1:29:26.068,1:29:53.146,6-4,1:29:29.214,1:29:07.234,6-4,1:29:19.326,1:29:31.142
6-5,1:31:59.129,1:33:07.173,,6-5,1:31:45.682,1:33:26.524,,6-5,1:32:40.861,1:32:32.000,,6-5,1:33:57.155,1:32:57.236,6-5,1:32:08.810,1:32:18.662,6-5,1:32:16.753,1:31:40.024,6-5,1:31:44.944,1:31:57.845
6-6,1:37:12.613,1:38:19.671,,6-6,1:36:57.247,1:39:01.010,,6-6,1:38:08.233,1:37:47.994,,6-6,1:39:05.395,1:38:21.510,6-6,1:37:39.137,1:37:18.652,6-6,1:37:36.694,1:36:57.263,6-6,1:37:29.418,1:37:09.688
3-1,1:41:41.546,1:42:47.792,,3-1,1:41:25.878,1:43:27.423,,3-1,1:42:37.294,1:42:14.615,,3-1,1:43:46.582,1:43:16.077,3-1,1:42:11.665,1:41:46.564,3-1,1:42:04.319,1:41:26.608,3-1,1:41:58.875,1:41:39.805
3-2,1:45:45.078,1:46:47.612,,3-2,1:45:33.111,1:47:50.807,,3-2,1:46:50.241,1:46:49.916,,3-2,1:48:06.902,1:47:26.200,3-2,1:46:10.326,1:46:13.493,3-2,1:46:19.602,1:45:33.292,3-2,1:45:59.145,1:46:02.495
3-3,1:46:53.689,1:48:02.650,,3-3,1:47:20.422,1:49:18.371,,3-3,1:48:09.016,1:47:57.166,,3-3,1:49:24.281,1:48:40.240,3-3,1:47:34.738,1:47:34.223,3-3,1:47:28.585,1:46:46.580,3-3,1:47:20.331,1:47:26.337
3-4,1:50:49.024,1:52:05.648,,3-4,1:51:25.757,1:53:24.856,,3-4,1:52:13.785,1:51:55.899,,3-4,1:53:18.124,1:52:35.510,3-4,1:51:28.912,1:51:34.117,3-4,1:51:23.565,1:50:40.825,3-4,1:51:14.322,1:51:22.395
3-5,1:53:05.243,1:54:21.025,,3-5,1:53:37.813,1:55:38.796,,3-5,1:54:33.578,1:54:21.839,,3-5,1:55:45.423,1:54:53.980,3-5,1:53:51.249,1:53:50.670,3-5,1:53:34.755,1:53:12.610,3-5,1:53:25.266,1:53:38.104
3-6,1:55:25.154,1:56:56.124,,3-6,1:55:57.165,1:57:56.729,,3-6,1:56:54.828,1:56:41.045,,3-6,1:58:10.953,1:57:15.273,3-6,1:56:10.854,1:56:10.982,3-6,1:55:53.028,1:55:31.742,3-6,1:55:46.532,1:55:57.890
5-1,2:01:15.959,2:03:10.290,,5-1,2:01:50.129,2:04:17.431,,5-1,2:02:56.516,2:02:32.951,,5-1,2:04:28.579,2:03:01.632,5-1,2:02:03.517,2:02:06.338,5-1,2:02:00.984,2:01:26.897,5-1,2:01:34.451,2:01:58.006
5-2,2:05:01.378,2:06:56.643,,5-2,2:05:31.847,2:08:01.783,,5-2,2:06:40.548,2:06:16.875,,5-2,2:08:14.930,2:06:44.776,5-2,2:05:46.962,2:05:47.379,5-2,2:05:43.386,2:05:16.704,5-2,2:05:20.624,2:05:58.743
5-3,2:08:40.712,2:10:51.832,,5-3,2:09:31.413,2:11:42.529,,5-3,2:11:07.194,2:09:52.959,,5-3,2:11:58.155,2:10:15.895,5-3,2:09:27.238,2:09:14.236,5-3,2:10:33.812,2:08:50.491,5-3,2:09:08.928,2:09:36.360
5-4,2:13:32.808,2:15:48.888,,5-4,2:14:34.472,2:16:40.133,,5-4,2:15:55.051,2:14:50.996,,5-4,2:17:01.589,2:15:07.009,5-4,2:15:10.634,2:14:04.733,5-4,2:15:44.011,2:13:38.067,5-4,2:14:12.806,2:14:23.556
5-5,2:16:54.556,2:19:10.587,,5-5,2:17:45.284,2:20:34.773,,5-5,2:19:10.027,2:17:58.339,,5-5,2:20:24.991,2:18:31.845,5-5,2:19:56.879,2:17:19.000,5-5,2:19:41.228,2:17:01.111,5-5,2:17:38.050,2:17:36.019
5-6,2:21:50.786,2:24:31.784,,5-6,2:22:32.471,2:27:04.351,,5-6,2:24:24.516,2:23:21.891,,5-6,2:26:26.906,2:26:09.477,5-6,2:25:26.338,2:22:40.802,5-6,2:24:54.009,2:22:32.007,5-6,2:22:30.888,2:23:13.876
